Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
randy,64,804,24,"{'fuck': 8, 'god': 5, 'fuckin': 3, 'ass': 2, 'damn': 1, 'shit': 1, 'stupid': 1, 'hell': 1, 'virgin': 1, 'fucking': 1}",2.99
sharon,50,456,1,{'god': 1},0.22
shake weight,28,468,0,{},0.0
stan,22,226,9,"{'sucks': 2, 'retarded': 2, 'crap': 1, 'playboy': 1, 'pissed': 1, 'stupid': 1, 'suck': 1}",3.98
alton brown,10,181,0,{},0.0
amanda,7,77,0,{},0.0
cartman,6,114,12,"{'fucking': 4, 'fuck': 3, 'bitch': 1, 'piss': 1, 'arse': 1, 'wanker': 1, 'shit': 1}",10.53
kyle,6,72,2,"{'sucks': 1, 'goddamned': 1}",2.78
woman 1,5,89,1,{'fisted': 1},1.12
announcer,5,79,1,{'hells': 1},1.27
randy singing,5,20,0,{},0.0
michael,4,74,0,{},0.0
sheila,3,39,0,{},0.0
hotline man,2,37,0,{},0.0
guy fieri,2,36,0,{},0.0
bobby flay,2,32,0,{},0.0
phillip,2,28,0,{},0.0
paula deen,2,26,0,{},0.0
jamie oliver,2,26,0,{},0.0
terrance,2,12,0,{},0.0
reporter,1,15,1,{'poop': 1},6.67
rosemary,1,13,0,{},0.0
woman 2,1,7,0,{},0.0
craig,1,6,0,{},0.0
associate,1,4,0,{},0.0
kenny,1,4,0,{},0.0
