Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,40,463,15,"{'fucking': 3, 'fuck': 2, 'kill': 2, 'god': 1, 'motherfucker': 1, 'fucked': 1, 'jerk': 1, 'fuckin': 1, 'ugly': 1, 'kills': 1, 'pissed': 1}",3.24
butters,31,349,10,"{'kill': 8, 'suck': 1, 'ugly': 1}",2.87
stan,27,320,8,"{'god': 2, 'smut': 2, 'shit': 1, 'fuck': 1, 'fucked': 1, 'asshole': 1}",2.5
kyle,24,223,4,"{'hell': 1, 'goddamned': 1, 'retarded': 1, 'boobs': 1}",1.79
sharon,12,162,2,{'god': 2},1.23
randy,12,140,1,{'anus': 1},0.71
mr garrison,8,133,1,{'vulgar': 1},0.75
kenny,8,25,2,"{'fuck': 1, 'fucking': 1}",8.0
stephen,7,51,0,{},0.0
news anchor,3,79,0,{},0.0
field reporter,3,65,0,{},0.0
matt lauer,3,61,0,{},0.0
al roker,3,54,1,{'kill': 1},1.85
assemblywoman 2,3,49,1,{'ugly': 1},2.04
assemblyman 2,3,28,0,{},0.0
morgan freeman,2,109,16,"{'poop': 10, 'fat': 2, 'pee': 1, 'naked': 1, 'boobs': 1, 'strip': 1}",14.68
announcer,2,97,1,{'vomit': 1},1.03
matt,2,85,0,{},0.0
news anchor 2,2,70,4,"{'poop': 1, 'pee': 1, 'prick': 1, 'fuck': 1}",5.71
sheila,2,35,0,{},0.0
marsha,2,30,0,{},0.0
kim,2,24,0,{},0.0
assemblywoman 1,2,24,0,{},0.0
meredith,2,23,1,{'vomit': 1},4.35
meredith vieira,2,23,0,{},0.0
gerald,2,19,0,{},0.0
lola,2,19,0,{},0.0
al,1,53,0,{},0.0
broderick,1,29,0,{},0.0
shopper 7,1,18,4,"{'kill': 2, 'poop': 1, 'pee': 1}",22.22
mr needlebaum,1,18,0,{},0.0
shopper 6,1,18,0,{},0.0
shopper 4,1,16,0,{},0.0
shopper 2,1,15,2,"{'pee': 1, 'poop': 1}",13.33
shopper 1,1,15,2,"{'pee': 1, 'boobs': 1}",13.33
assemblyman 4,1,15,0,{},0.0
red,1,12,0,{},0.0
assemblyman 1,1,11,0,{},0.0
shopper 3,1,9,0,{},0.0
assemblyman 3,1,8,0,{},0.0
rebecca,1,6,1,{'god': 1},16.67
mrs streibel,1,6,0,{},0.0
shopper 5,1,6,0,{},0.0
bruce jenner,1,6,0,{},0.0
clyde,1,4,0,{},0.0
mr adler,1,3,0,{},0.0
stan kyle cartman,1,3,0,{},0.0
linda,1,2,0,{},0.0
class,1,1,0,{},0.0
the kardashians,1,1,0,{},0.0
