Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,61,621,26,"{'fuck': 6, 'god': 5, 'crap': 4, 'fuckin': 3, 'shit': 2, 'pedophiles': 2, 'sucks': 1, 'strips': 1, 'kill': 1, 'asshole': 1}",4.19
randy,48,697,10,"{'pot': 3, 'weed': 3, 'sucks': 1, 'ass': 1, 'god': 1, 'stupid': 1}",1.43
billy,18,301,1,{'ass': 1},0.33
dr doctor,14,229,1,{'hell': 1},0.44
the colonel,13,165,6,"{'fuck': 3, 'fucking': 2, 'cocksucker': 1}",3.64
clerk,9,110,1,{'pot': 1},0.91
sharon,8,54,0,{},0.0
teabag,7,60,1,{'shit': 1},1.67
nurse fran,5,48,0,{},0.0
stan,5,26,0,{},0.0
jimbo,4,27,2,"{'stoned': 1, 'ass': 1}",7.41
men,4,8,2,{'weed': 2},25.0
barbrady,3,48,0,{},0.0
liane,3,33,0,{},0.0
kyle,3,27,0,{},0.0
worker 1,2,24,0,{},0.0
coach,2,21,0,{},0.0
tough boy 1,2,20,0,{},0.0
peter nelson,2,16,0,{},0.0
billys mom,2,13,0,{},0.0
nurse,2,8,0,{},0.0
woman 2,2,7,0,{},0.0
group,1,38,0,{},0.0
worker 2,1,24,0,{},0.0
tommy,1,24,0,{},0.0
man 1,1,23,0,{},0.0
tough boy 2,1,18,0,{},0.0
man 2,1,17,1,{'weed': 1},5.88
tough boy 3,1,12,1,{'pissed': 1},8.33
customer,1,11,0,{},0.0
player 1,1,9,0,{},0.0
woman 1,1,8,0,{},0.0
woman 3,1,7,0,{},0.0
nellys mom,1,6,1,{'scrotum': 1},16.67
player 3,1,5,1,{'stoned': 1},20.0
man 3,1,4,0,{},0.0
henchman,1,3,0,{},0.0
player 2,1,1,0,{},0.0
woman 5,1,1,0,{},0.0
