Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,76,626,22,"{'fuck': 5, 'sucked': 4, 'stupid': 3, 'hell': 2, 'retarded': 1, 'screw': 1, 'hells': 1, 'asshole': 1, 'bullshit': 1, 'bitch': 1, 'fuckin': 1, 'god': 1}",3.51
kyle,42,603,9,"{'hell': 4, 'sucked': 2, 'shit': 1, 'penis': 1, 'screw': 1}",1.49
cartman,22,566,8,"{'penis': 6, 'stupid': 1, 'dicks': 1}",1.41
randy,15,143,0,{},0.0
kip,12,168,0,{},0.0
wendy,10,118,1,{'fuck': 1},0.85
kips mom,9,70,0,{},0.0
profile stan marsh,8,102,0,{},0.0
kips dad,8,56,0,{},0.0
referee,7,74,0,{},0.0
tom davis,5,74,0,{},0.0
isiah,3,30,0,{},0.0
boy,3,25,0,{},0.0
man 2,2,20,0,{},0.0
computer voice,2,20,0,{},0.0
guard 1,2,5,0,{},0.0
guard,2,5,0,{},0.0
kenny,2,3,0,{},0.0
dude,2,3,0,{},0.0
man 1,1,32,0,{},0.0
profile 2,1,10,0,{},0.0
randys profile,1,10,0,{},0.0
grandma marshs profile,1,10,0,{},0.0
profile 6,1,9,0,{},0.0
susan92s profile,1,9,0,{},0.0
profile 1,1,8,0,{},0.0
profile 5,1,7,0,{},0.0
butters profile,1,7,0,{},0.0
gary johnsons profile,1,7,0,{},0.0
kevin donahues profile,1,6,0,{},0.0
garrisons profile,1,5,0,{},0.0
stan ,1,1,0,{},0.0
profile 3,1,1,0,{},0.0
profile 4,1,1,0,{},0.0
