Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
kyle,38,345,13,"{'muff': 4, 'god': 3, 'crap': 1, 'hell': 1, 'fuck': 1, 'fat': 1, 'fucking': 1, 'fuckin': 1}",3.77
cartman,36,562,7,"{'crap': 2, 'raping': 2, 'god': 1, 'hell': 1, 'fuck': 1}",1.25
randy,28,491,5,"{'stupid': 2, 'japs': 1, 'fuck': 1, 'hell': 1}",1.02
teresa,20,433,29,"{'bitch': 7, 'muff': 5, 'fuckin': 4, 'fuck': 4, 'stupid': 2, 'bitchs': 2, 'panties': 1, 'god': 1, 'whore': 1, 'fucking': 1, 'pissin': 1}",6.7
sheila,19,358,10,"{'fuck': 2, 'bitch': 2, 'fuckin': 2, 'god': 1, 'trashy': 1, 'whores': 1, 'bitches': 1}",2.79
stan,14,174,8,"{'hell': 2, 'muff': 2, 'sex': 1, 'hump': 1, 'assholes': 1, 'asshole': 1}",4.6
sharon,9,37,0,{},0.0
snooki,7,31,0,{},0.0
jimbo,6,49,2,"{'kill': 1, 'stupid': 1}",4.08
stephen,5,48,1,{'damn': 1},2.08
caroline,4,29,0,{},0.0
butters,4,28,1,{'whiz': 1},3.57
jacqueline,4,27,1,{'tit': 1},3.7
ike,4,7,3,{'muff': 3},42.86
the situation,3,38,0,{},0.0
schwarzenegger,3,34,0,{},0.0
joe,3,26,0,{},0.0
bar patron 2,3,19,0,{},0.0
mr garrison,3,17,0,{},0.0
p train,2,45,1,{'pissed': 1},2.22
bar patron 1,2,26,1,{'hell': 1},3.85
jersey man,2,26,0,{},0.0
salon girl,2,24,1,{'shit': 1},4.17
stuart,2,20,0,{},0.0
tan jovi,2,19,0,{},0.0
kenny,2,6,1,{'fuckin': 1},16.67
gerald,2,5,1,{'muff': 1},20.0
reporter,1,73,0,{},0.0
steve last call,1,27,0,{},0.0
announcer,1,17,0,{},0.0
bartender,1,14,0,{},0.0
jersey woman,1,12,0,{},0.0
dogpoo,1,12,0,{},0.0
barbrady,1,9,0,{},0.0
woman,1,6,0,{},0.0
jersey people,1,6,0,{},0.0
jersey man 2,1,6,0,{},0.0
paratrooper,1,6,0,{},0.0
woman 1,1,5,0,{},0.0
operative,1,2,0,{},0.0
all,1,1,0,{},0.0
