Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
randy,85,994,13,"{'blowjobs': 3, 'blowjob': 2, 'hell': 1, 'steamy': 1, 'shit': 1, 'sucks': 1, 'oral': 1, 'sex': 1, 'hooters': 1, 'fucking': 1}",1.31
sharon,29,326,3,"{'god': 2, 'blowjobs': 1}",0.92
sondheim,16,106,1,{'blowjob': 1},0.94
shelly,11,80,1,{'stupid': 1},1.25
singers,9,49,1,{'blowjob': 1},2.04
worker 2,7,76,1,{'pissed': 1},1.32
peter nelson,7,52,0,{},0.0
webber,6,55,4,"{'bitches': 1, 'blowjobs': 1, 'ass': 1, 'blowjob': 1}",7.27
stan,5,53,0,{},0.0
schwartz,5,41,3,"{'hell': 1, 'blowjob': 1, 'fuckin': 1}",7.32
representative,5,37,0,{},0.0
mr feegan,4,135,0,{},0.0
man 1,4,68,2,{'blowjob': 2},2.94
lady 1,4,50,2,"{'blowjobs': 1, 'semen': 1}",4.0
worker 1,4,49,1,{'blowjob': 1},2.04
larry,4,44,0,{},0.0
mrs feegan,3,63,0,{},0.0
man 4,3,28,1,{'blowjob': 1},3.57
all,3,22,4,"{'blowjobs': 3, 'blowjob': 1}",18.18
male,3,21,2,{'blowjobs': 2},9.52
man 2,3,17,0,{},0.0
the wizard,2,32,0,{},0.0
both,2,26,1,{'blowjob': 1},3.85
elton john,2,25,0,{},0.0
country singer,2,21,1,{'drunk': 1},4.76
announcer,2,20,1,{'blowjob': 1},5.0
men,2,19,2,{'blowjobs': 2},10.53
stephen,2,17,0,{},0.0
females,2,12,0,{},0.0
witches,2,11,0,{},0.0
males,2,5,2,{'blowjob': 2},40.0
female sailor,2,4,0,{},0.0
audience,2,2,0,{},0.0
field reporter,1,50,0,{},0.0
lady 2,1,13,1,{'blowjobs': 1},7.69
elderly man,1,12,0,{},0.0
reginald,1,11,1,{'blowjob': 1},9.09
cartman,1,11,0,{},0.0
usher,1,8,1,{'hell': 1},12.5
the phantom,1,6,1,{'blowjob': 1},16.67
man 3,1,6,1,{'blowjob': 1},16.67
female,1,6,0,{},0.0
women,1,4,4,{'blowjobs': 4},100.0
audience member,1,4,0,{},0.0
actors,1,3,0,{},0.0
spectator,1,2,0,{},0.0
spectator 2,1,2,0,{},0.0
male sailor 1,1,1,1,{'blowjob': 1},100.0
male sailor 2,1,1,1,{'blowjob': 1},100.0
christine,1,1,0,{},0.0
bob,1,1,0,{},0.0
bros,1,1,0,{},0.0
