Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,61,1098,17,"{'pissed': 3, 'god': 2, 'murder': 2, 'suck': 1, 'fat': 1, 'fucking': 1, 'sucks': 1, 'fuckin': 1, 'hell': 1, 'fucked': 1, 'shit': 1, 'assholes': 1, 'bitches': 1}",1.55
polly prissypants,12,200,3,"{'fat': 1, 'bitch': 1, 'kill': 1}",1.5
liane,12,129,0,{},0.0
stan,10,125,4,"{'hell': 2, 'god': 1, 'sucks': 1}",3.2
board rep,8,279,7,"{'fat': 3, 'fuckin': 2, 'retard': 2}",2.51
jimmy,8,122,1,{'ugly': 1},0.82
butters,8,93,0,{},0.0
kyle,7,64,3,"{'hell': 1, 'murder': 1, 'fatass': 1}",4.69
tolkien,7,48,0,{},0.0
sgt yates,6,82,0,{},0.0
rumpertumskin,6,65,4,"{'fuckin': 1, 'slut': 1, 'fucking': 1, 'skank': 1}",6.15
peter panda,6,46,3,"{'stupid': 1, 'fucking': 1, 'bitch': 1}",6.52
fifth grader,4,76,3,"{'bitch': 1, 'fat': 1, 'fuck': 1}",3.95
officer 2,4,68,0,{},0.0
stephen tamill,4,46,0,{},0.0
craig,4,38,1,{'fat': 1},2.63
field reporter 3,3,70,1,{'hell': 1},1.43
muscleman marc,3,44,0,{},0.0
coach,3,26,0,{},0.0
field reporter 1,2,119,0,{},0.0
female reporter,2,57,0,{},0.0
officer 1,2,49,0,{},0.0
receptionist,2,27,0,{},0.0
bob,2,21,0,{},0.0
field reporter 2,1,38,0,{},0.0
linda,1,27,0,{},0.0
michael moore,1,20,0,{},0.0
female reporter 2,1,19,0,{},0.0
fireman 1,1,14,0,{},0.0
patron,1,14,0,{},0.0
wendy,1,13,0,{},0.0
principal victoria,1,9,0,{},0.0
fireman 2,1,9,0,{},0.0
clyde frog,1,5,0,{},0.0
kid 4,1,4,1,{'screw': 1},25.0
kenny,1,4,0,{},0.0
clyde,1,3,0,{},0.0
kid 2,1,2,1,{'screw': 1},50.0
kid 1,1,2,0,{},0.0
assembly,1,1,0,{},0.0
class,1,1,0,{},0.0
classmates,1,1,0,{},0.0
