Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
randy,52,775,6,"{'ass': 2, 'fucking': 1, 'pricks': 1, 'stupid': 1, 'fuck': 1}",0.77
stan,47,429,5,"{'boobs': 1, 'sucks': 1, 'hell': 1, 'god': 1, 'hells': 1}",1.17
kyle,21,173,5,"{'god': 3, 'kum': 2}",2.89
sharon,19,270,2,"{'god': 1, 'damn': 1}",0.74
cartman,19,234,9,"{'fucking': 3, 'fat': 1, 'gay': 1, 'stupid': 1, 'crap': 1, 'shit': 1, 'god': 1}",3.85
sgt yates,9,109,0,{},0.0
kenny,7,37,1,{'fuck': 1},2.7
butters,6,77,0,{},0.0
girlfriend,6,54,1,{'god': 1},1.85
robber 1,6,48,2,"{'god': 1, 'damn': 1}",4.17
shelly,6,32,1,{'god': 1},3.12
ghost 2,5,91,1,{'boobs': 1},1.1
man 1,5,64,6,"{'fat': 3, 'gay': 2, 'transsexual': 1}",9.38
robber 2,3,30,0,{},0.0
ghost,3,27,0,{},0.0
boyfriend,3,26,0,{},0.0
officer 3,3,26,0,{},0.0
robber 4,3,22,0,{},0.0
robber 3,3,21,0,{},0.0
ben,3,13,0,{},0.0
man 2,2,19,0,{},0.0
boy,2,11,0,{},0.0
shopper,2,9,2,{'hooch': 2},22.22
woman 1,2,6,0,{},0.0
filmore and quaid,2,3,0,{},0.0
officer 4,1,13,0,{},0.0
fillmore,1,12,0,{},0.0
officer,1,12,0,{},0.0
mr mackey,1,10,0,{},0.0
a banana,1,9,0,{},0.0
jimmy,1,7,4,{'wop': 4},57.14
officer 2,1,7,0,{},0.0
officer 5,1,6,0,{},0.0
the boys,1,3,0,{},0.0
mr garrison,1,2,0,{},0.0
fillmore and friend,1,1,0,{},0.0
man 3,1,1,0,{},0.0
family,1,1,0,{},0.0
