Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,42,514,10,"{'kill': 6, 'goddamned': 2, 'scums': 1, 'fat': 1}",1.95
cartman,37,619,24,"{'fuck': 7, 'fucking': 4, 'suck': 4, 'fucked': 3, 'gay': 1, 'asshole': 1, 'god': 1, 'dick': 1, 'motherfucker': 1, 'assholes': 1}",3.88
dean,21,734,3,{'kill': 3},0.41
marvin,13,227,4,"{'god': 1, 'fucking': 1, 'gay': 1, 'fuck': 1}",1.76
kyle,13,116,3,"{'fucking': 2, 'pawn': 1}",2.59
clerk 4,9,110,5,"{'fuck': 3, 'fucker': 1, 'fucked': 1}",4.55
randy,5,61,0,{},0.0
mrs appleby,5,35,0,{},0.0
butters,5,15,0,{},0.0
clerk 3,3,60,0,{},0.0
manager,3,57,0,{},0.0
clerk 1,3,50,0,{},0.0
sharon,3,38,0,{},0.0
caller 3,3,28,1,{'kill': 1},3.57
vivian,3,14,0,{},0.0
clerk 2,3,10,0,{},0.0
caller 2,2,22,0,{},0.0
caller 1,2,12,1,{'kill': 1},8.33
caller,2,12,0,{},0.0
kenny,2,11,4,"{'fuck': 2, 'fuckin': 1, 'asshole': 1}",36.36
leroy,2,10,0,{},0.0
twirler 2,1,28,0,{},0.0
twirler 1,1,22,0,{},0.0
twirler 3,1,10,1,{'god': 1},10.0
marcia,1,9,0,{},0.0
twirler 4,1,9,0,{},0.0
