Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,51,377,20,"{'herpes': 8, 'fuckin': 3, 'shit': 2, 'god': 1, 'hell': 1, 'stupid': 1, 'fucking': 1, 'fuck': 1, 'crap': 1, 'bastard': 1}",5.31
kyle,47,409,16,"{'bastard': 3, 'shit': 2, 'fatass': 2, 'crap': 2, 'god': 2, 'fart': 1, 'sucked': 1, 'fat': 1, 'screwed': 1, 'bastards': 1}",3.91
stan,45,549,3,"{'hell': 1, 'god': 1, 'asshole': 1}",0.55
narrator,31,947,9,"{'hell': 5, 'fuck': 1, 'anus': 1, 'goddamn': 1, 'herpes': 1}",0.95
michael,28,318,1,{'herpes': 1},0.31
kenny,7,33,3,"{'herpes': 1, 'shit': 1, 'fuck': 1}",9.09
clerk,6,73,0,{},0.0
man 2,6,45,0,{},0.0
guide,6,42,1,{'herpes': 1},2.38
rancher,3,37,0,{},0.0
adults,3,16,0,{},0.0
duncan,2,35,0,{},0.0
pete,2,28,0,{},0.0
guide 1,2,11,0,{},0.0
woman 2,2,5,0,{},0.0
man 3,1,117,0,{},0.0
rider 1,1,15,0,{},0.0
mr hankey,1,8,0,{},0.0
the boys,1,4,0,{},0.0
rider 2,1,4,0,{},0.0
woman 1,1,2,0,{},0.0
some adults,1,2,0,{},0.0
man 1,1,1,0,{},0.0
kyle cartman,1,1,0,{},0.0
boys,1,1,0,{},0.0
man 4,1,1,0,{},0.0
zipliner,1,1,0,{},0.0
cartman kyle,1,1,0,{},0.0
