Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,77,983,12,"{'god': 4, 'fuck': 3, 'motherfucker': 1, 'sucks': 1, 'bitch': 1, 'asshole': 1, 'fuckin': 1}",1.22
nichole,39,304,0,{},0.0
tolkien,28,134,0,{},0.0
kyle,23,235,9,"{'hell': 2, 'fat': 2, 'motherfucker': 1, 'gay': 1, 'fucking': 1, 'fuck': 1, 'turd': 1}",3.83
cupid me,18,83,1,{'fuck': 1},1.2
butters,12,80,0,{},0.0
bebe,6,35,0,{},0.0
announcer,4,100,0,{},0.0
william,4,71,0,{},0.0
lola,4,38,0,{},0.0
red,4,32,1,{'pissed': 1},3.12
jenny,4,12,0,{},0.0
mr garrison,3,200,0,{},0.0
dad,3,67,0,{},0.0
stan,3,27,0,{},0.0
the girls,3,24,0,{},0.0
stacy,3,3,0,{},0.0
mom,2,25,0,{},0.0
wendy,2,16,0,{},0.0
craig,2,7,0,{},0.0
man,1,57,0,{},0.0
brad paisley,1,10,0,{},0.0
both,1,10,0,{},0.0
jimmy,1,9,0,{},0.0
clyde,1,4,0,{},0.0
kenny,1,4,0,{},0.0
liane,1,3,0,{},0.0
brad,1,3,0,{},0.0
guard,1,2,0,{},0.0
lola jenny red and wendy,1,1,0,{},0.0
adults,1,1,0,{},0.0
crowd,1,1,0,{},0.0
spectator,1,1,0,{},0.0
