Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
randy,49,788,5,"{'fuck': 1, 'fucking': 1, 'god': 1, 'damn': 1, 'cum': 1}",0.63
butters,35,669,4,"{'suck': 2, 'sucking': 1, 'cum': 1}",0.6
cartman,16,165,5,"{'screw': 1, 'suck': 1, 'sucking': 1, 'shit': 1, 'piss': 1}",3.03
stan,15,206,3,"{'suck': 2, 'stupid': 1}",1.46
dan,9,214,0,{},0.0
sharon,9,90,0,{},0.0
kyle,7,58,0,{},0.0
jim rome,6,315,4,"{'semen': 3, 'stroke': 1}",1.27
stephen,6,139,1,{'cum': 1},0.72
doctor,5,125,0,{},0.0
announcer,4,61,1,{'fucking': 1},1.64
mr mackey,4,45,0,{},0.0
clyde,4,44,0,{},0.0
principal victoria,4,26,0,{},0.0
goodell,3,85,0,{},0.0
voice over,3,80,0,{},0.0
commentator,3,68,0,{},0.0
anchor,2,46,0,{},0.0
reporter 1,2,34,0,{},0.0
manning,2,16,0,{},0.0
cheerleader 1,2,6,0,{},0.0
boys,2,3,0,{},0.0
tom brady,1,19,0,{},0.0
photographer,1,15,1,{'fucking': 1},6.67
fan 1,1,13,0,{},0.0
wendy,1,13,0,{},0.0
linda,1,10,0,{},0.0
fan 2,1,10,0,{},0.0
singer,1,9,0,{},0.0
the team,1,8,0,{},0.0
side judge,1,7,2,"{'fuck': 1, 'fucking': 1}",28.57
24,1,7,1,{'hell': 1},14.29
red,1,6,0,{},0.0
reporter 2,1,6,0,{},0.0
cheerleader 2,1,4,1,{'fuckin': 1},25.0
a fangirl,1,4,0,{},0.0
cee lo green,1,3,0,{},0.0
fangirls,1,3,0,{},0.0
cheerleaders,1,2,0,{},0.0
craig,1,2,0,{},0.0
mr adler,1,1,0,{},0.0
clyde kenny,1,1,0,{},0.0
broncos,1,1,0,{},0.0
spectators,1,1,0,{},0.0
