Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
kyle,40,569,11,"{'fat': 6, 'fucking': 2, 'fatass': 1, 'shit': 1, 'god': 1}",1.93
cartman,33,878,37,"{'fat': 11, 'bitch': 6, 'shit': 5, 'fucking': 4, 'god': 2, 'hell': 2, 'fuck': 2, 'pissed': 2, 'dick': 1, 'asshole': 1, 'tits': 1}",4.21
tolkien,17,278,4,"{'bullshit': 1, 'fat': 1, 'pissed': 1, 'hell': 1}",1.44
james cameron,14,310,7,"{'bitch': 3, 'fat': 1, 'fuck': 1, 'hell': 1, 'god': 1}",2.26
honey boo boo,10,102,3,"{'bitches': 1, 'fat': 1, 'shits': 1}",2.94
stan,10,75,0,{},0.0
mama,9,200,0,{},0.0
michelle obama,4,119,0,{},0.0
randy newman,4,57,0,{},0.0
crewman 1,4,44,0,{},0.0
singers,4,41,0,{},0.0
anchor,2,96,2,"{'fat': 1, 'shitting': 1}",2.08
farmer,2,17,0,{},0.0
crewman 6,1,24,0,{},0.0
craig,1,20,0,{},0.0
ticket teller,1,17,0,{},0.0
announcer,1,16,0,{},0.0
man 2,1,15,0,{},0.0
man 3,1,13,0,{},0.0
man 4,1,10,1,{'fat': 1},10.0
greeter,1,10,0,{},0.0
obese man 2,1,9,0,{},0.0
aide,1,9,0,{},0.0
crewman 5,1,6,0,{},0.0
obese lady,1,5,0,{},0.0
gerald,1,5,0,{},0.0
obese man,1,4,0,{},0.0
legless boy,1,4,0,{},0.0
crewman 2,1,4,0,{},0.0
crewman 4,1,4,0,{},0.0
man,1,3,0,{},0.0
crewman 3,1,3,0,{},0.0
a crewman,1,2,0,{},0.0
