Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
pete,55,609,10,"{'god': 3, 'hell': 3, 'fucking': 1, 'fuckin': 1, 'bitch': 1, 'asses': 1}",1.64
michael,45,551,13,"{'god': 3, 'hell': 3, 'fucked': 2, 'suck': 1, 'assholes': 1, 'douchebag': 1, 'fucking': 1, 'douchey': 1}",2.36
henrietta,33,378,12,"{'fucking': 7, 'god': 2, 'gangbanged': 1, 'crap': 1, 'jizz': 1}",3.17
poe,22,263,8,"{'god': 2, 'douchey': 1, 'ass': 1, 'shit': 1, 'stupid': 1, 'bitch': 1, 'pots': 1}",3.04
howard,18,216,1,{'god': 1},0.46
mike,14,199,2,"{'fuck': 1, 'god': 1}",1.01
firkle,14,112,5,"{'kill': 2, 'fucking': 1, 'suck': 1, 'god': 1}",4.46
mrs biggle,12,102,2,"{'jizz': 1, 'bitch': 1}",1.96
mr biggle,9,119,0,{},0.0
black vamp,8,136,4,"{'ass': 2, 'damn': 1, 'mothafuckas': 1}",2.94
worker,6,40,0,{},0.0
host,5,80,0,{},0.0
waitress,4,38,1,{'prick': 1},2.63
voice,3,29,0,{},0.0
cowlick vamp,3,20,1,{'shit': 1},5.0
dad,2,40,0,{},0.0
emo boy 1,2,34,0,{},0.0
emo girl,2,18,1,{'kill': 1},5.56
mom,2,11,0,{},0.0
vampire,1,25,0,{},0.0
a ring tone,1,12,0,{},0.0
emo boy 2,1,12,0,{},0.0
emo boy,1,8,1,{'god': 1},12.5
mohawk vamp,1,4,0,{},0.0
sarah,1,4,0,{},0.0
black vamp mike and pete,1,2,1,{'god': 1},50.0
vamps,1,2,0,{},0.0
mike michael and pete,1,2,0,{},0.0
