Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
kyle,54,496,7,"{'schlong': 1, 'stupid': 1, 'sex': 1, 'fuck': 1, 'god': 1, 'screwed': 1, 'goddammit': 1}",1.41
ike,31,403,18,"{'fuckin': 6, 'fuck': 4, 'stupid': 3, 'shit': 2, 'fucking': 1, 'screw': 1, 'crap': 1}",4.47
mr mackey,28,783,5,"{'hell': 3, 'homo': 1, 'goddamned': 1}",0.64
plex,19,191,2,{'god': 2},1.05
terry,17,308,3,"{'queef': 2, 'god': 1}",0.97
minister,10,355,7,"{'queef': 2, 'fart': 1, 'dick': 1, 'testicles': 1, 'farts': 1, 'semen': 1}",1.97
cody,10,157,0,{},0.0
foofa,8,100,1,{'sex': 1},1.0
rick,6,129,1,{'queefs': 1},0.78
wife,5,51,0,{},0.0
brobee,4,12,0,{},0.0
announcer,3,50,0,{},0.0
cartman,3,17,3,"{'sucks': 2, 'dick': 1}",17.65
muno,3,15,1,{'god': 1},6.67
toodee,3,6,0,{},0.0
anchor,2,78,3,"{'god': 1, 'sex': 1, 'pot': 1}",3.85
sheila,2,45,0,{},0.0
commentator,2,30,0,{},0.0
ryan,2,23,0,{},0.0
principal victoria,2,23,0,{},0.0
sinéad,2,22,1,{'bastards': 1},4.55
host,2,20,1,{'bitch': 1},5.0
pat,2,15,0,{},0.0
dora,2,15,0,{},0.0
troupe,2,10,0,{},0.0
tom brady,2,6,0,{},0.0
coach,1,22,0,{},0.0
therapist,1,18,0,{},0.0
mr adler,1,17,0,{},0.0
mr garrison,1,10,0,{},0.0
stan,1,9,0,{},0.0
miles,1,4,0,{},0.0
stage hand,1,3,0,{},0.0
butters,1,2,0,{},0.0
yo gabba gabba,1,1,0,{},0.0
