Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,39,750,10,"{'god': 2, 'butthole': 1, 'screw': 1, 'fucks': 1, 'dong': 1, 'fuck': 1, 'shit': 1, 'assholes': 1, 'dick': 1}",1.33
randy,21,306,2,"{'fat': 1, 'god': 1}",0.65
stan,16,336,1,{'sucks': 1},0.3
old cap,14,241,2,"{'damn': 1, 'god': 1}",0.83
kyle,13,123,0,{},0.0
craig,10,90,0,{},0.0
butters,9,217,7,"{'gay': 5, 'boobs': 1, 'vaginas': 1}",3.23
jimmy,9,109,0,{},0.0
kenny,6,29,0,{},0.0
clyde,5,44,0,{},0.0
kevin,4,46,0,{},0.0
sharon,4,37,2,"{'hell': 1, 'bullshit': 1}",5.41
shopper 4,4,18,1,{'fuck': 1},5.56
guard 2,3,148,1,{'god': 1},0.68
announcer,3,51,0,{},0.0
elmo,3,35,1,{'potty': 1},2.86
michael,3,23,0,{},0.0
corporate head,3,20,0,{},0.0
guard 3,3,15,0,{},0.0
guard 1,2,93,1,{'stupid': 1},1.08
thompson,2,31,1,{'hell': 1},3.23
shopper 1,2,29,0,{},0.0
member 1,2,25,0,{},0.0
female anchor,2,15,0,{},0.0
dougie,2,15,0,{},0.0
pete,2,15,0,{},0.0
male anchor,2,12,0,{},0.0
reporter 2,1,69,0,{},0.0
chief of security,1,44,0,{},0.0
shopper 2,1,42,0,{},0.0
shopper 3,1,31,3,"{'fat': 1, 'vagina': 1, 'motherfuckin': 1}",9.68
reporter,1,31,0,{},0.0
member 2,1,28,0,{},0.0
tolkien,1,9,0,{},0.0
announcer 2,1,8,0,{},0.0
tweek,1,7,0,{},0.0
guard 4,1,6,1,{'god': 1},16.67
ensign,1,5,0,{},0.0
girl,1,4,0,{},0.0
voice,1,4,0,{},0.0
shopper 5,1,3,0,{},0.0
ps4 army,1,3,0,{},0.0
henrietta,1,2,0,{},0.0
boys,1,1,0,{},0.0
boy,1,1,0,{},0.0
shopper 6,1,1,0,{},0.0
shopper 7,1,1,0,{},0.0
