Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
kyle,44,727,7,"{'shit': 2, 'fuck': 2, 'fat': 1, 'hell': 1, 'stupid': 1}",0.96
randy,37,563,9,"{'clit': 4, 'fuck': 2, 'god': 1, 'horny': 1, 'clits': 1}",1.6
cartman,35,481,11,"{'god': 3, 'douchebag': 2, 'butthole': 1, 'stupid': 1, 'dicks': 1, 'bitch': 1, 'hell': 1, 'sucks': 1}",2.29
record producer,19,345,2,"{'clit': 1, 'asshole': 1}",0.58
stan,13,131,1,{'clit': 1},0.76
mj hologram,13,76,0,{},0.0
passenger,8,114,0,{},0.0
pewdiepie,8,79,1,{'god': 1},1.27
sharon,7,61,3,"{'cock': 1, 'clit': 1, 'god': 1}",4.92
shelly,6,82,1,{'kill': 1},1.22
wendy,5,107,0,{},0.0
iggy,5,61,2,"{'fuck': 1, 'bullshit': 1}",3.28
tech 3,5,15,0,{},0.0
ike,5,7,0,{},0.0
mr garrison,4,37,2,{'hell': 2},5.41
butters,4,18,0,{},0.0
tech 4,3,50,0,{},0.0
gerald,3,48,0,{},0.0
announcer,2,54,0,{},0.0
tech 2,2,25,0,{},0.0
principal victoria,2,21,0,{},0.0
kid 2,2,20,0,{},0.0
guard 1,2,9,0,{},0.0
kenny,2,2,0,{},0.0
kids,2,2,0,{},0.0
stagehand,1,39,0,{},0.0
man,1,22,1,{'ass': 1},4.55
tupacs hologram,1,19,1,{'shit': 1},5.26
mr mackey,1,17,0,{},0.0
mc,1,12,0,{},0.0
miley cyrus,1,11,0,{},0.0
conner,1,10,0,{},0.0
kid 1,1,9,0,{},0.0
audience,1,8,0,{},0.0
nicki,1,6,0,{},0.0
tech 1,1,4,0,{},0.0
fan,1,3,0,{},0.0
