Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,32,669,21,"{'gay': 12, 'god': 4, 'fuckin': 3, 'ass': 1, 'kill': 1}",3.14
barbrady,28,234,2,"{'god': 1, 'kill': 1}",0.85
randy,20,238,13,"{'gay': 8, 'kill': 2, 'goddammit': 1, 'ass': 1, 'stupid': 1}",5.46
mayor mcdaniels,15,230,1,{'ass': 1},0.43
sgt yates,12,254,2,"{'fuck': 1, 'shit': 1}",0.79
stan,10,38,1,{'gay': 1},2.63
tolkien,9,120,2,"{'ass': 1, 'gay': 1}",1.67
stuart,8,79,4,"{'goddammit': 1, 'fuckin': 1, 'drunk': 1, 'god': 1}",5.06
kyle,8,42,5,"{'gay': 2, 'shit': 2, 'fat': 1}",11.9
butters,7,48,0,{},0.0
stephen,6,83,1,{'shitty': 1},1.2
agent,5,66,0,{},0.0
johnson,5,41,1,{'shit': 1},2.44
gerald,4,62,0,{},0.0
isis leader,4,54,0,{},0.0
clyde,4,19,0,{},0.0
sharon,4,15,0,{},0.0
anchor,3,87,0,{},0.0
pc principal,3,58,0,{},0.0
barkley,3,33,1,{'assholes': 1},3.03
jimmy,2,93,0,{},0.0
ryan,2,28,0,{},0.0
carol,2,18,0,{},0.0
skeeter,2,17,0,{},0.0
homeless man 7,2,16,1,{'gay': 1},6.25
aide,2,13,0,{},0.0
homeless man 6,2,10,0,{},0.0
ninjas,2,2,0,{},0.0
patron,1,15,0,{},0.0
homeless man 4,1,13,0,{},0.0
driver,1,12,0,{},0.0
marvin,1,10,1,{'shit': 1},10.0
homeless man 3,1,10,1,{'bitch': 1},10.0
reporter,1,10,0,{},0.0
homeless man 1,1,9,0,{},0.0
officer barbrady,1,5,0,{},0.0
homeless man 2,1,5,0,{},0.0
officer 2,1,5,0,{},0.0
officer 1,1,4,0,{},0.0
mitch,1,3,0,{},0.0
passenger,1,3,0,{},0.0
homeless man 5,1,3,0,{},0.0
boy,1,1,0,{},0.0
david,1,1,0,{},0.0
