Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
pc principal,45,830,20,"{'fuck': 4, 'retarded': 3, 'pussy': 2, 'puss': 2, 'hitler': 2, 'hell': 2, 'asses': 1, 'fuckin': 1, 'cunnilingus': 1, 'fucker': 1, 'shit': 1}",2.41
jimmy,43,464,9,"{'retarded': 3, 'suck': 1, 'dick': 1, 'stupid': 1, 'ass': 1, 'pussy': 1, 'shit': 1}",1.94
leslie,11,100,0,{},0.0
pc bro 11,10,207,2,"{'penis': 1, 'puss': 1}",0.97
nathan,10,118,1,{'piss': 1},0.85
agent,9,197,0,{},0.0
representative,7,173,0,{},0.0
garrison,6,85,2,"{'hell': 1, 'god': 1}",2.35
randy,5,103,1,{'fucking': 1},0.97
principal victoria,5,50,0,{},0.0
pc bro 14,4,120,4,"{'fuckin': 2, 'pussy': 2}",3.33
sharon,4,83,1,{'pussy': 1},1.2
caitlyn,4,27,3,"{'shit': 1, 'god': 1, 'asshole': 1}",11.11
mr garrison,3,55,1,{'fuck': 1},1.82
blonde,3,17,0,{},0.0
stephen,2,354,1,{'bullshit': 1},0.28
anchor tom,2,57,0,{},0.0
topher,2,43,1,{'puss': 1},2.33
hillary,2,33,0,{},0.0
pc bro 9,2,30,1,{'puss': 1},3.33
brad,2,29,0,{},0.0
pc bro 16,2,19,1,{'fuck': 1},5.26
stan,2,16,0,{},0.0
kyle,2,8,0,{},0.0
pc bros,2,6,0,{},0.0
moderator,1,28,0,{},0.0
rancher,1,22,0,{},0.0
barbrady,1,20,0,{},0.0
gerald,1,17,0,{},0.0
pc bro 18,1,17,0,{},0.0
pc bro 17,1,11,0,{},0.0
butters,1,10,0,{},0.0
announcer,1,9,0,{},0.0
mr mackey,1,8,0,{},0.0
pc bro 7,1,8,0,{},0.0
pc bro 15,1,7,0,{},0.0
computer,1,7,0,{},0.0
everyone,1,5,1,{'fuck': 1},20.0
pc bro 4,1,5,0,{},0.0
mckinsey,1,5,0,{},0.0
pc bro 10,1,4,0,{},0.0
agent 3,1,4,0,{},0.0
pc bro 12,1,3,0,{},0.0
agent 2,1,3,0,{},0.0
other bros,1,2,1,{'hell': 1},50.0
pc bro 13,1,2,0,{},0.0
ladies,1,1,0,{},0.0
pc bro 19,1,1,0,{},0.0
