Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,247,3767,68,"{'gay': 13, 'god': 10, 'fuck': 9, 'fat': 4, 'fuckin': 4, 'dick': 4, 'shit': 3, 'hell': 3, 'poop': 2, 'sex': 2, 'ass': 2, 'fucking': 2, 'raping': 1, 'asshole': 1, 'raped': 1, 'sucked': 1, 'willy': 1, 'stupid': 1, 'kill': 1, 'slave': 1, 'titties': 1, 'suck': 1}",1.81
randy,198,2899,60,"{'gay': 15, 'god': 5, 'yaoi': 4, 'shit': 4, 'hell': 4, 'kill': 3, 'sucks': 2, 'stupid': 2, 'pussy': 2, 'ass': 2, 'fucking': 2, 'dicks': 1, 'dong': 1, 'ugly': 1, 'shitty': 1, 'screw': 1, 'asshole': 1, 'dick': 1, 'goddamned': 1, 'anal': 1, 'rape': 1, 'goddammit': 1, 'fuck': 1, 'bastard': 1, 'damn': 1, 'bitch': 1}",2.07
pc principal,144,3075,56,"{'fuckin': 9, 'fuck': 8, 'penis': 5, 'shit': 4, 'retarded': 4, 'fucking': 3, 'gay': 3, 'pussy': 2, 'puss': 2, 'hitler': 2, 'hell': 2, 'kill': 2, 'wombs': 1, 'suck': 1, 'bullshit': 1, 'sexual': 1, 'shits': 1, 'asshole': 1, 'asses': 1, 'cunnilingus': 1, 'fucker': 1, 'pisses': 1}",1.82
kyle,135,1480,32,"{'fuck': 4, 'hell': 4, 'fat': 3, 'gay': 3, 'goddammit': 3, 'ass': 2, 'shit': 2, 'fucking': 2, 'bitch': 2, 'kill': 2, 'stupid': 1, 'willys': 1, 'yaoi': 1, 'fatass': 1, 'goddamned': 1}",2.16
butters,116,1029,16,"{'god': 6, 'fat': 2, 'dick': 2, 'shit': 1, 'ugly': 1, 'asshole': 1, 'vagina': 1, 'fuckers': 1, 'stupid': 1}",1.55
stan,96,761,15,"{'gay': 4, 'hell': 3, 'fuck': 2, 'dicks': 1, 'pissed': 1, 'yaoi': 1, 'stupid': 1, 'bitch': 1, 'god': 1}",1.97
jimmy,87,1272,12,"{'retarded': 3, 'dick': 3, 'yaoi': 1, 'suck': 1, 'stupid': 1, 'ass': 1, 'pussy': 1, 'shit': 1}",0.94
mr garrison,57,998,38,"{'fuck': 11, 'hell': 5, 'goddamned': 4, 'shit': 4, 'fucking': 2, 'stupid': 1, 'screw': 1, 'pissed': 1, 'suck': 1, 'dick': 1, 'fucked': 1, 'goddammit': 1, 'ass': 1, 'bitch': 1, 'asshole': 1, 'weirdo': 1, 'gay': 1}",3.81
leslie,39,566,4,"{'god': 2, 'dick': 1, 'kill': 1}",0.71
tweek,37,347,8,"{'god': 2, 'fuckin': 2, 'gay': 1, 'penis': 1, 'hell': 1, 'shit': 1}",2.31
gerald,36,415,4,"{'hell': 1, 'ass': 1, 'god': 1, 'fat': 1}",0.96
craig,35,348,11,"{'gay': 7, 'fuck': 1, 'fuckin': 1, 'goddammit': 1, 'shit': 1}",3.16
mayor mcdaniels,34,594,2,"{'shit': 1, 'ass': 1}",0.34
barbrady,34,287,2,"{'god': 1, 'kill': 1}",0.7
nathan,31,439,2,"{'piss': 1, 'prostitutes': 1}",0.46
cashier,30,539,1,{'vodka': 1},0.19
sharon,29,255,2,"{'gay': 1, 'pussy': 1}",0.78
tuong lu kim,24,669,21,"{'shitty': 17, 'hell': 1, 'ass': 1, 'fuck': 1, 'asses': 1}",3.14
tom,23,317,7,"{'dick': 4, 'bitch': 1, 'hell': 1, 'douche': 1}",2.21
sgt yates,21,353,2,"{'fuck': 1, 'shit': 1}",0.57
cupid me,21,201,4,"{'pee': 2, 'fuck': 1, 'prick': 1}",1.99
garrison,21,228,10,"{'hell': 2, 'god': 2, 'bitch': 2, 'ass': 1, 'dickhead': 1, 'assholes': 1, 'asshole': 1}",4.39
stephen,20,535,2,"{'shitty': 1, 'bullshit': 1}",0.37
stuart,20,230,9,"{'damn': 2, 'fuck': 1, 'ass': 1, 'bitch': 1, 'goddammit': 1, 'fuckin': 1, 'drunk': 1, 'god': 1}",3.91
liane,20,156,0,{},0.0
mr mackey,19,317,2,"{'rape': 1, 'damn': 1}",0.63
thomas,18,349,7,"{'gay': 3, 'asshole': 1, 'fucked': 1, 'god': 1, 'raped': 1}",2.01
lead singer,16,105,3,"{'cum': 1, 'piss': 1, 'shit': 1}",2.86
mr rodriguez,15,155,0,{},0.0
backup singers,15,49,11,{'cum': 11},22.45
kenny,14,75,4,"{'fuck': 2, 'fucking': 1, 'fuckin': 1}",5.33
tolkien,14,149,4,"{'assholes': 1, 'asses': 1, 'ass': 1, 'gay': 1}",2.68
davíd,14,94,0,{},0.0
agent,14,263,0,{},0.0
principal victoria,14,178,0,{},0.0
charlotte,13,116,0,{},0.0
whole foods rep,13,168,0,{},0.0
david,13,184,4,"{'bullshit': 1, 'ass': 1, 'prick': 1, 'maxi': 1}",2.17
caitlyn,13,82,9,"{'asshole': 3, 'fuck': 2, 'shit': 1, 'god': 1, 'stupid': 1, 'bitch': 1}",10.98
johnson,12,102,1,{'shit': 1},0.98
japanese singer,12,67,0,{},0.0
reality,11,270,17,"{'fuck': 6, 'shit': 4, 'fat': 2, 'kill': 1, 'stupid': 1, 'bitch': 1, 'pricks': 1, 'sucked': 1}",6.3
pc bros,10,45,1,{'fuck': 1},2.22
mr president,10,97,6,"{'suck': 3, 'pussy': 1, 'homos': 1, 'stupid': 1}",6.19
barkley,10,70,3,"{'god': 2, 'assholes': 1}",4.29
pc bro 11,10,207,2,"{'penis': 1, 'puss': 1}",0.97
classi,10,131,14,"{'ass': 4, 'dick': 3, 'fucks': 2, 'fuckin': 2, 'hell': 1, 'asshole': 1, 'bitch': 1}",10.69
richard,9,138,2,{'gay': 2},1.45
wendy,9,145,4,{'yaoi': 4},2.76
pc bro 1,8,61,4,"{'fuckin': 3, 'hell': 1}",6.56
male food critic,8,102,2,"{'willy': 1, 'hell': 1}",1.96
