Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
kyle,48,356,6,"{'god': 2, 'oral': 1, 'hell': 1, 'ass': 1, 'bastards': 1}",1.69
stan,48,335,10,"{'screwed': 3, 'stupid': 1, 'sucks': 1, 'dummy': 1, 'hell': 1, 'damn': 1, 'fatass': 1, 'god': 1}",2.99
richard,46,732,1,{'dong': 1},0.14
tweek,44,237,0,{},0.0
cartman,31,215,13,"{'pussy': 8, 'sucks': 2, 'suck': 1, 'ass': 1, 'pecker': 1}",6.05
postum,22,303,3,"{'fat': 1, 'hell': 1, 'damn': 1}",0.99
lady member,18,206,2,"{'bastards': 1, 'whore': 1}",0.97
mr garrison,17,428,6,"{'hell': 1, 'oral': 1, 'ass': 1, 'bitches': 1, 'asses': 1, 'turds': 1}",1.4
gnome,16,87,5,"{'pussy': 4, 'shit': 1}",5.75
mrs tweak,14,235,1,{'pot': 1},0.43
mayor,10,207,1,{'stupid': 1},0.48
gnome 2,6,39,0,{},0.0
mediator,5,90,2,"{'fat': 1, 'douchebag': 1}",2.22
lady member 2,4,39,0,{},0.0
audience,4,6,0,{},0.0
kenny,3,15,1,{'fuck': 1},6.67
crowd,3,5,0,{},0.0
voice over,2,82,0,{},0.0
lady protester,2,23,0,{},0.0
customer,2,19,0,{},0.0
gnomes,2,9,0,{},0.0
townsman,2,7,1,{'damn': 1},14.29
barbrady,2,6,0,{},0.0
johnson,2,6,0,{},0.0
supporter,2,3,0,{},0.0
class,2,2,0,{},0.0
kids mom,1,19,0,{},0.0
host,1,15,0,{},0.0
townsman 2,1,13,0,{},0.0
tweek tweak,1,12,0,{},0.0
blonde protester,1,10,0,{},0.0
mrs tweek,1,7,0,{},0.0
ted,1,6,0,{},0.0
worker 2,1,6,0,{},0.0
worker 1,1,5,0,{},0.0
prop 10 supporter,1,5,0,{},0.0
kid,1,4,0,{},0.0
center gnome,1,4,0,{},0.0
richard tweak,1,3,0,{},0.0
officer barbrady,1,2,0,{},0.0
all,1,2,0,{},0.0
supporter 2,1,2,0,{},0.0
boys,1,1,0,{},0.0
male member,1,1,0,{},0.0
blond member,1,1,0,{},0.0
the other members,1,1,0,{},0.0
supporter 3,1,1,0,{},0.0
