Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,86,598,22,"{'dick': 6, 'hell': 3, 'ass': 3, 'god': 2, 'stupid': 2, 'crap': 1, 'damn': 1, 'fat': 1, 'suck': 1, 'sucks': 1, 'butthole': 1}",3.68
kyle,75,461,17,"{'dick': 4, 'fucking': 3, 'fat': 2, 'ass': 2, 'fatass': 1, 'penis': 1, 'gay': 1, 'bastards': 1, 'butthole': 1, 'sucks': 1}",3.69
dr mephesto,57,764,3,"{'god': 2, 'hell': 1}",0.39
larry,50,318,0,{},0.0
cartman,35,385,13,"{'screw': 3, 'damn': 2, 'bitch': 2, 'fat': 1, 'pussy': 1, 'ass': 1, 'bitches': 1, 'butthole': 1, 'god': 1}",3.38
agent,29,229,4,"{'damn': 3, 'hell': 1}",1.75
aussie,19,338,14,"{'butthole': 6, 'pissed': 4, 'pissing': 2, 'piss': 1, 'testicle': 1}",4.14
leslie,8,101,0,{},0.0
mayor mcdaniels,8,78,2,"{'hell': 1, 'crap': 1}",2.56
kenny,6,21,1,{'bastard': 1},4.76
officer barbrady,5,104,0,{},0.0
agent 2,5,28,0,{},0.0
reporter,4,95,0,{},0.0
clerk,3,21,2,{'hell': 2},9.52
conductor,3,10,0,{},0.0
big man,2,27,0,{},0.0
woman,2,22,0,{},0.0
pilot,2,19,1,{'god': 1},5.26
stan and kyle,2,13,1,{'hell': 1},7.69
tardy man,2,11,1,{'screw': 1},9.09
both,2,2,0,{},0.0
dr mepehsto,1,13,0,{},0.0
sports reporter,1,13,0,{},0.0
mayor,1,10,0,{},0.0
marilyn manson,1,8,0,{},0.0
man,1,3,1,{'screw': 1},33.33
reporter 2,1,3,0,{},0.0
reporter 3,1,3,0,{},0.0
some people,1,1,0,{},0.0
other people,1,1,0,{},0.0
reporter 1,1,1,0,{},0.0
mephesto,1,1,0,{},0.0
sorry,1,1,0,{},0.0
cow,1,1,0,{},0.0
