Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
dr doctor,46,740,8,"{'hell': 3, 'god': 1, 'fucked': 1, 'damn': 1, 'screwed': 1, 'fat': 1}",1.08
cartman,39,310,7,"{'goddammit': 1, 'bitch': 1, 'virgin': 1, 'screwing': 1, 'piss': 1, 'fuckin': 1, 'whiz': 1}",2.26
greenfield,28,287,4,"{'god': 2, 'hell': 2}",1.39
chef,23,182,0,{},0.0
jimbo,22,268,3,"{'kill': 1, 'hell': 1, 'god': 1}",1.12
liane,22,222,1,{'sex': 1},0.45
kyle,22,118,4,"{'bastards': 1, 'virgin': 1, 'hell': 1, 'bastard': 1}",3.39
stan,20,109,2,"{'god': 1, 'fatass': 1}",1.83
mr garrison,17,106,3,"{'hells': 1, 'god': 1, 'kill': 1}",2.83
mayor mcdaniels,15,137,4,"{'god': 3, 'shit': 1}",2.92
mephesto,12,189,1,{'penis': 1},0.53
announcer 1,10,126,3,"{'kill': 1, 'hell': 1, 'screwing': 1}",2.38
kenny,10,43,3,"{'fuckin': 2, 'god': 1}",6.98
officer barbrady,8,53,1,{'god': 1},1.89
receptionist,7,120,0,{},0.0
assistant,4,51,0,{},0.0
clinton,4,18,0,{},0.0
mephesto actor,4,16,0,{},0.0
chef actor,3,39,1,{'god': 1},2.56
barbrady actor,3,34,0,{},0.0
john walsh,2,75,0,{},0.0
oreilly,2,31,0,{},0.0
goodly,2,25,0,{},0.0
eric roberts,2,16,0,{},0.0
barbrady,2,9,0,{},0.0
cameraman,2,8,0,{},0.0
announcer 2,1,28,0,{},0.0
voice over,1,25,0,{},0.0
eric roberts as kevin,1,23,0,{},0.0
nurse goodly,1,16,0,{},0.0
sid greenfield,1,15,0,{},0.0
gerald broflovski,1,14,1,{'hell': 1},7.14
governor,1,14,0,{},0.0
mephesto tryout,1,13,0,{},0.0
ned,1,13,0,{},0.0
sheila,1,12,0,{},0.0
garrison 1,1,11,0,{},0.0
garrison 2,1,11,0,{},0.0
president bill clinton,1,11,0,{},0.0
garrison actor,1,7,1,{'god': 1},14.29
nurse,1,7,0,{},0.0
mr hat 1,1,7,0,{},0.0
mr hat,1,7,0,{},0.0
mr hat 2,1,7,0,{},0.0
sharon,1,5,0,{},0.0
blonde,1,4,0,{},0.0
mr hat actor,1,4,0,{},0.0
mayor mcdaneils,1,3,0,{},0.0
man,1,2,0,{},0.0
singer,1,2,0,{},0.0
