Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
jimbo,98,1252,20,"{'kill': 6, 'hell': 5, 'ass': 2, 'pussy': 1, 'napalm': 1, 'bastards': 1, 'crap': 1, 'bitch': 1, 'porn': 1, 'titties': 1}",1.6
stan,47,446,6,"{'stupid': 2, 'crap': 2, 'asses': 1, 'god': 1}",1.35
jesus,47,404,1,{'fuck': 1},0.25
cartman,33,176,10,"{'bitch': 1, 'drunk': 1, 'dick': 1, 'ass': 1, 'screw': 1, 'goddammit': 1, 'stupid': 1, 'pissed': 1, 'fuckin': 1, 'nutsack': 1}",5.68
producer,27,351,4,"{'damn': 1, 'hell': 1, 'god': 1, 'pissed': 1}",1.14
kyle,25,198,9,"{'stupid': 3, 'ass': 2, 'sucks': 1, 'screwed': 1, 'fat': 1, 'bastards': 1}",4.55
ned,19,74,1,{'damn': 1},1.35
mr garrison,9,177,2,"{'fuck': 1, 'bullshit': 1}",1.13
announcer,9,102,0,{},0.0
cameraman,7,42,0,{},0.0
mr mackey,4,51,0,{},0.0
kenny,4,27,2,"{'stupid': 1, 'fuck': 1}",7.41
tom,3,88,1,{'ass': 1},1.14
michael jackson fan,3,77,0,{},0.0
jesus producer,3,53,0,{},0.0
bob,3,16,0,{},0.0
woman,3,12,3,"{'asshole': 1, 'fuck': 1, 'god': 1}",25.0
audience,3,8,0,{},0.0
sergeant,2,54,0,{},0.0
michelle,2,36,0,{},0.0
red haired woman,2,27,0,{},0.0
large woman,2,26,0,{},0.0
man 1,2,13,0,{},0.0
clyde,2,11,0,{},0.0
man 2,2,10,0,{},0.0
satan,2,6,0,{},0.0
saddam hussein,1,23,0,{},0.0
mr hat,1,11,0,{},0.0
leader,1,10,0,{},0.0
man in brown shirt,1,9,1,{'screw': 1},11.11
stage hand,1,7,0,{},0.0
man with chair hitting kenny,1,6,0,{},0.0
disciples vocalist,1,5,0,{},0.0
husband,1,4,0,{},0.0
man in blue shirt pulling kenny,1,4,0,{},0.0
jimbo ned,1,3,0,{},0.0
man in green shirt pulling kenny,1,3,0,{},0.0
injured man,1,2,0,{},0.0
man 3,1,2,0,{},0.0
the boys,1,2,0,{},0.0
class,1,1,0,{},0.0
boys,1,1,0,{},0.0
kylecartman,1,1,0,{},0.0
