Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,62,523,8,"{'god': 3, 'kill': 1, 'fat': 1, 'fart': 1, 'ass': 1, 'dumbass': 1}",1.53
kyle,58,442,20,"{'fat': 2, 'fart': 2, 'crap': 2, 'bastard': 2, 'fatass': 1, 'fuck': 1, 'dumbass': 1, 'bitches': 1, 'damn': 1, 'god': 1, 'stupid': 1, 'kill': 1, 'bastards': 1, 'retard': 1, 'penis': 1, 'fucked': 1}",4.52
ms crabtree,53,437,13,"{'hell': 4, 'ass': 3, 'kill': 2, 'crap': 1, 'turd': 1, 'suck': 1, 'whores': 1}",2.97
cartman,48,387,11,"{'ass': 3, 'assholes': 1, 'suck': 1, 'sucks': 1, 'fart': 1, 'god': 1, 'kill': 1, 'damn': 1, 'bitch': 1}",2.84
truck driver,28,212,1,{'damn': 1},0.47
kids,12,17,0,{},0.0
liane,11,51,0,{},0.0
kenny,10,84,1,{'dick': 1},1.19
talent scout,9,79,1,{'kill': 1},1.27
boy in the red shirt,7,92,0,{},0.0
sharon,6,61,0,{},0.0
carrot ass,6,41,0,{},0.0
marty,5,30,0,{},0.0
randy,4,41,0,{},0.0
mr garrison,4,28,1,{'bitch': 1},3.57
wendy,4,9,0,{},0.0
mr mackey,3,65,0,{},0.0
mayor mcdaniels,3,37,0,{},0.0
gerald,3,21,0,{},0.0
jimbo,3,16,0,{},0.0
all,3,3,0,{},0.0
fonzie,3,3,0,{},0.0
trainer,2,131,1,{'kill': 1},0.76
sheila,2,25,0,{},0.0
guide,2,19,0,{},0.0
man 1,2,14,0,{},0.0
john elway,2,11,0,{},0.0
man 2,2,10,0,{},0.0
kathie lee,2,9,0,{},0.0
the boys,2,4,0,{},0.0
announcer,1,34,0,{},0.0
tom,1,34,0,{},0.0
mephesto,1,17,0,{},0.0
jay leno,1,11,0,{},0.0
the parents,1,10,0,{},0.0
grandpa marsh,1,9,0,{},0.0
grandpa,1,8,1,{'whore': 1},12.5
brent musberger,1,6,0,{},0.0
ned,1,6,0,{},0.0
clyde,1,6,0,{},0.0
wife,1,3,0,{},0.0
joanie cunningham,1,2,0,{},0.0
the kids,1,1,0,{},0.0
patron,1,1,0,{},0.0
bebe,1,1,0,{},0.0
boys,1,1,0,{},0.0
scuzzlebutt,1,1,0,{},0.0
alien,1,1,0,{},0.0
man 3,1,1,0,{},0.0
kid,1,1,0,{},0.0
