Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,26,678,17,"{'vagina': 7, 'sex': 2, 'vaginas': 2, 'sucked': 1, 'fat': 1, 'crap': 1, 'ass': 1, 'god': 1, 'gay': 1}",2.51
garrison,25,599,26,"{'fuck': 8, 'turd': 5, 'fuckin': 3, 'jackass': 3, 'suck': 2, 'bitch': 1, 'shit': 1, 'kill': 1, 'hell': 1, 'piss': 1}",4.34
randy,22,190,12,"{'douche': 5, 'turd': 4, 'screw': 1, 'hell': 1, 'fucks': 1}",6.32
kyle,20,269,4,"{'hitler': 1, 'hell': 1, 'goddammit': 1, 'vagina': 1}",1.49
mike,9,220,2,"{'turd': 1, 'douche': 1}",0.91
jim,8,171,1,{'asshole': 1},0.58
berries,7,127,0,{},0.0
matt,5,86,3,"{'douche': 1, 'fucking': 1, 'fuck': 1}",3.49
stephen,5,63,1,{'god': 1},1.59
caitlyn,5,49,2,"{'fuck': 1, 'turd': 1}",4.08
pc principal,4,98,0,{},0.0
pollster,4,58,4,"{'douche': 2, 'turd': 2}",6.9
stan,4,43,4,"{'douche': 2, 'turd': 2}",9.3
mr mackey,4,35,0,{},0.0
anchor 2,3,74,1,{'turd': 1},1.35
nelly,3,59,2,"{'fat': 1, 'fuck': 1}",3.39
lady senator,3,45,0,{},0.0
butters,3,42,2,{'dick': 2},4.76
announcer,3,41,2,"{'douche': 1, 'turd': 1}",4.88
wendy,3,24,0,{},0.0
joe biden,2,85,0,{},0.0
hillary,2,17,1,{'douche': 1},5.88
gerald,2,16,0,{},0.0
heidi,2,15,0,{},0.0
male senator,2,10,0,{},0.0
bebe,2,8,0,{},0.0
craig,2,7,0,{},0.0
crowd,2,6,1,{'fuck': 1},16.67
news anchor 1,1,36,0,{},0.0
dave,1,31,0,{},0.0
teacher,1,31,0,{},0.0
news anchor 2,1,28,3,"{'turd': 2, 'douche': 1}",10.71
adviser 1,1,28,1,{'fuck': 1},3.57
senator 3,1,28,0,{},0.0
sharon,1,19,1,{'turd': 1},5.26
moderator,1,18,1,{'douche': 1},5.56
hillary clinton turd sandwich,1,18,0,{},0.0
arthur,1,16,0,{},0.0
adviser 2,1,13,1,{'fuck': 1},7.69
jimbo,1,8,0,{},0.0
caityln,1,8,0,{},0.0
sports commentator,1,7,0,{},0.0
berry,1,5,0,{},0.0
senator 2,1,4,0,{},0.0
clyde,1,3,1,{'vagina': 1},33.33
reporter 1,1,3,1,{'turd': 1},33.33
referee,1,3,0,{},0.0
senators,1,2,0,{},0.0
preschoolers,1,1,0,{},0.0
