Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,51,599,8,"{'semen': 3, 'cum': 2, 'hell': 1, 'fuck': 1, 'god': 1}",1.34
kyle,36,331,9,"{'shit': 3, 'gay': 1, 'hell': 1, 'kill': 1, 'fat': 1, 'hooker': 1, 'fuck': 1}",2.72
gerald,27,233,10,"{'god': 2, 'dildo': 1, 'damn': 1, 'fucks': 1, 'kill': 1, 'fat': 1, 'fuck': 1, 'fucking': 1, 'bitch': 1}",4.29
sheila,21,193,2,"{'stupid': 1, 'hell': 1}",1.04
dildo shwaggins,17,206,8,"{'skank': 6, 'pissing': 1, 'dildo': 1}",3.88
mr garrison,13,136,3,"{'fucking': 1, 'gods': 1, 'fuck': 1}",2.21
laura,11,142,3,"{'bitch': 1, 'bastard': 1, 'porn': 1}",2.11
bedrager,11,130,2,"{'kill': 1, 'fucking': 1}",1.54
kyle voiceover,10,93,0,{},0.0
butters,10,78,0,{},0.0
ike,10,32,7,"{'dumbass': 1, 'fuckwads': 1, 'asshole': 1, 'bitch': 1, 'fat': 1, 'hooker': 1, 'fucking': 1}",21.88
male occupy mars spacex worker,9,78,0,{},0.0
heidi,8,84,1,{'god': 1},1.19
nsa agent,7,176,1,{'fucking': 1},0.57
elon musk,5,57,0,{},0.0
trolltrace employee,4,34,0,{},0.0
tolkien,4,18,0,{},0.0
stan,3,14,0,{},0.0
general revaur,2,43,0,{},0.0
news reporter,2,32,0,{},0.0
dave beckett,2,27,2,"{'dick': 1, 'fag': 1}",7.41
news anchor,1,31,0,{},0.0
female spacex worker,1,23,0,{},0.0
army general 2,1,23,0,{},0.0
military officer,1,19,0,{},0.0
cartman voiceover,1,11,0,{},0.0
kevin,1,10,0,{},0.0
jimmy,1,9,1,{'tard': 1},11.11
soldier,1,9,0,{},0.0
craig,1,8,2,"{'shit': 1, 'gay': 1}",25.0
kenny,1,5,0,{},0.0
danish worker,1,4,0,{},0.0
female 3,1,2,0,{},0.0
pentagon employee,1,2,0,{},0.0
female 1,1,1,0,{},0.0
female 2,1,1,0,{},0.0
female spacex employee,1,1,0,{},0.0
