Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
randy,48,939,9,"{'hell': 3, 'goddammit': 1, 'assholes': 1, 'stupid': 1, 'gay': 1, 'fucking': 1, 'god': 1}",0.96
cartman,46,537,16,"{'butthole': 2, 'fuck': 2, 'god': 2, 'vagina': 1, 'pissed': 1, 'bitching': 1, 'titty': 1, 'stupid': 1, 'scrotum': 1, 'fuckin': 1, 'hell': 1, 'semen': 1, 'suck': 1}",2.98
darryl,33,370,9,"{'kill': 2, 'fuckin': 2, 'pussy': 1, 'goddamned': 1, 'hell': 1, 'shit': 1, 'god': 1}",2.43
heidi,21,235,2,{'pissed': 2},0.85
alexa,13,123,8,"{'butthole': 2, 'tampon': 1, 'vagina': 1, 'poop': 1, 'titty': 1, 'scrotum': 1, 'suck': 1}",6.5
protesters,10,58,0,{},0.0
liane,8,95,0,{},0.0
protester 5,6,35,1,{'fuck': 1},2.86
jim bob,5,31,1,{'hell': 1},3.23
protester 4,5,17,1,{'bitch': 1},5.88
sharon,4,39,0,{},0.0
cleetus,4,23,0,{},0.0
butters,3,20,1,{'tampon': 1},5.0
heidi 4,3,19,0,{},0.0
heidi 3,2,28,0,{},0.0
judge,2,26,0,{},0.0
heidi 1,2,17,0,{},0.0
clyde,2,10,0,{},0.0
tolkien,2,10,0,{},0.0
heidi 2,2,9,0,{},0.0
siri,1,21,2,"{'suck': 1, 'butthole': 1}",9.52
stan,1,14,0,{},0.0
google home,1,11,2,"{'suck': 1, 'butthole': 1}",18.18
jimmy,1,10,0,{},0.0
protester 8,1,10,0,{},0.0
ike,1,9,1,{'poop': 1},11.11
alexas,1,8,2,"{'suck': 1, 'butthole': 1}",25.0
all 4 heidis,1,5,2,{'fuck': 2},40.0
kyle,1,5,0,{},0.0
protester 2,1,4,1,{'suck': 1},25.0
a protester,1,4,0,{},0.0
protester 9,1,4,0,{},0.0
protester 3,1,3,1,{'shit': 1},33.33
eddie,1,3,0,{},0.0
protester 6,1,2,0,{},0.0
protester 7,1,2,0,{},0.0
