Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
bob white,25,406,3,"{'damn': 1, 'fucking': 1, 'penis': 1}",0.74
randy,25,233,2,"{'fucks': 1, 'shitting': 1}",0.86
heidi,20,386,8,"{'shit': 2, 'bitch': 2, 'stupid': 1, 'fucked': 1, 'asshole': 1, 'ass': 1}",2.07
cartman,20,183,3,"{'fuck': 1, 'god': 1, 'kill': 1}",1.64
stan,14,161,2,{'ass': 2},1.24
kyle,14,140,1,{'god': 1},0.71
officer bright,13,307,4,"{'hell': 2, 'hells': 1, 'bitch': 1}",1.3
strong woman,9,78,1,{'god': 1},1.28
craig,9,59,0,{},0.0
garrison,9,56,2,"{'god': 1, 'shit': 1}",3.57
mayor mcdaniels,7,97,0,{},0.0
tweek,7,39,0,{},0.0
sharon,5,50,1,{'god': 1},2.0
crystal,5,26,0,{},0.0
pc principal,4,65,0,{},0.0
waiter,4,27,0,{},0.0
jimbo,3,16,0,{},0.0
tolkien,2,15,0,{},0.0
justin trudeau,1,57,0,{},0.0
reporter,1,44,1,{'kill': 1},2.27
bill keegan,1,43,0,{},0.0
mrswhite,1,20,0,{},0.0
townsman 2,1,16,0,{},0.0
mr turner,1,16,0,{},0.0
laura,1,14,0,{},0.0
townsman 1,1,13,0,{},0.0
offier bright,1,13,0,{},0.0
ike,1,7,0,{},0.0
steven,1,7,0,{},0.0
townsfolk,1,6,0,{},0.0
mrs turner,1,6,0,{},0.0
butters,1,5,0,{},0.0
linda black,1,2,0,{},0.0
sheila,1,2,0,{},0.0
