Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,47,772,22,"{'coon': 13, 'fucking': 3, 'fuck': 2, 'god': 2, 'shit': 1, 'poop': 1}",2.85
mark,31,406,5,"{'penis': 2, 'god': 2, 'coon': 1}",1.23
butters,20,373,4,"{'sucked': 1, 'fuck': 1, 'shit': 1, 'coon': 1}",1.07
stan,15,163,1,{'fuck': 1},0.61
stephen,13,274,4,"{'penis': 2, 'poop': 1, 'sex': 1}",1.46
jimmy,13,172,1,{'hell': 1},0.58
kyle,10,77,2,"{'dick': 1, 'coon': 1}",2.6
operator 1,8,129,1,{'coon': 1},0.78
richard,7,66,2,"{'penis': 1, 'hell': 1}",3.03
sgt yates,6,108,0,{},0.0
randy,6,62,2,"{'rectal': 1, 'poop': 1}",3.23
thomas,5,76,0,{},0.0
craig,5,67,1,{'pee': 1},1.49
barkley,5,65,0,{},0.0
kenny,5,49,0,{},0.0
wilson,5,22,1,{'poop': 1},4.55
mr mackey,3,73,0,{},0.0
ryan,3,38,0,{},0.0
tolkien,3,30,1,{'fuck': 1},3.33
heidi,3,28,0,{},0.0
clyde,3,21,0,{},0.0
adam,3,18,1,{'coon': 1},5.56
elderly man,3,14,0,{},0.0
steve,2,45,0,{},0.0
man 2,2,31,0,{},0.0
mrs tweak,2,11,0,{},0.0
tweek,2,5,1,{'sucks': 1},20.0
doctor,1,23,0,{},0.0
baby jimmy,1,8,0,{},0.0
woman 2,1,8,0,{},0.0
operator 2,1,7,1,{'transsexual': 1},14.29
linda,1,6,0,{},0.0
man 1,1,5,0,{},0.0
elderly woman,1,5,0,{},0.0
workers,1,4,0,{},0.0
worker 2,1,4,0,{},0.0
foley,1,3,0,{},0.0
woman 1,1,2,0,{},0.0
chaos 35,1,2,0,{},0.0
worker 1,1,2,0,{},0.0
putin,1,2,0,{},0.0
the crowd,1,1,0,{},0.0
coon friends,1,1,0,{},0.0
