Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,49,560,5,"{'pee': 1, 'fucking': 1, 'god': 1, 'hell': 1, 'kill': 1}",0.89
randy,46,457,5,"{'screw': 1, 'god': 1, 'fuckin': 1, 'kill': 1, 'bullshit': 1}",1.09
heidi,29,287,3,"{'pee': 1, 'crap': 1, 'god': 1}",1.05
chip,19,146,2,{'kill': 2},1.37
stephen,17,234,1,{'god': 1},0.43
butters,17,212,0,{},0.0
stan,13,143,1,{'fuck': 1},0.7
kyle,12,130,0,{},0.0
garrison,11,125,3,"{'dick': 1, 'shit': 1, 'douche': 1}",2.4
sharon,11,121,0,{},0.0
gerald,9,51,0,{},0.0
the men,7,53,1,{'fuck': 1},1.89
sgt yates,7,50,0,{},0.0
ryan,6,67,2,"{'shit': 1, 'hell': 1}",2.99
stuart,6,32,1,{'god': 1},3.12
ticket taker,5,43,0,{},0.0
liane,3,28,1,{'potty': 1},3.57
rick,2,42,1,{'fat': 1},2.38
cop 2,2,19,0,{},0.0
mr turner,2,16,0,{},0.0
tolkien,2,13,0,{},0.0
steve,2,11,0,{},0.0
mayor mcdaniels,1,51,0,{},0.0
cop 1,1,16,0,{},0.0
jimmy,1,13,0,{},0.0
presidents aide,1,11,0,{},0.0
roger,1,8,0,{},0.0
scott,1,8,0,{},0.0
a townsman,1,7,0,{},0.0
nancy turner,1,6,0,{},0.0
richard,1,6,0,{},0.0
thomas,1,5,0,{},0.0
kids,1,5,0,{},0.0
the three men,1,3,0,{},0.0
peter,1,2,0,{},0.0
a girl,1,2,0,{},0.0
