Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,60,891,14,"{'fuck': 3, 'bitch': 2, 'whore': 2, 'crap': 1, 'fucked': 1, 'sucks': 1, 'god': 1, 'fat': 1, 'pissed': 1, 'screwed': 1}",1.57
heidi,46,612,5,"{'whore': 1, 'pussies': 1, 'god': 1, 'sucks': 1, 'stupid': 1}",0.82
kyle,39,541,7,"{'sucks': 2, 'hell': 2, 'ugly': 1, 'shit': 1, 'bitch': 1}",1.29
garrison,11,194,8,"{'fuck': 2, 'faggot': 1, 'shits': 1, 'retard': 1, 'raped': 1, 'fucked': 1, 'turd': 1}",4.12
ryan,10,163,2,"{'cum': 1, 'bitch': 1}",1.23
mcconnell,8,69,0,{},0.0
tolkien,8,29,1,{'fat': 1},3.45
butters,6,61,1,{'fuck': 1},1.64
steve,6,33,1,{'hell': 1},3.03
pence,4,45,0,{},0.0
linda,4,33,0,{},0.0
stan,4,18,0,{},0.0
theresa,3,42,1,{'god': 1},2.38
bebe,3,33,0,{},0.0
red,3,25,0,{},0.0
lola,3,13,0,{},0.0
pence ryan mcconnell,3,12,0,{},0.0
the girls,3,5,0,{},0.0
reporter,2,26,1,{'semen': 1},3.85
isla,2,24,1,{'fuck': 1},4.17
annie,2,20,1,{'shit': 1},5.0
anchor bill keegan,1,51,0,{},0.0
paul ryan,1,24,1,{'raped': 1},4.17
mike pence,1,11,0,{},0.0
mitch mcconnell,1,10,0,{},0.0
memberberries,1,10,0,{},0.0
jimmy,1,8,1,{'pissed': 1},12.5
nichole,1,8,0,{},0.0
wendy,1,5,0,{},0.0
liane,1,2,0,{},0.0
the other girls,1,2,0,{},0.0
