Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,22,385,11,"{'god': 2, 'kill': 1, 'ass': 1, 'bitches': 1, 'douchebags': 1, 'fucked': 1, 'bitch': 1, 'shit': 1, 'pissed': 1, 'hooker': 1}",2.86
randy,22,372,14,"{'weed': 7, 'sucks': 2, 'shit': 2, 'stupid': 1, 'assholes': 1, 'ass': 1}",3.76
stan,21,147,3,"{'dick': 1, 'asses': 1, 'fucking': 1}",2.04
kyle,19,204,3,"{'stupid': 1, 'suck': 1, 'shit': 1}",1.47
bezos,17,286,2,"{'kill': 1, 'damn': 1}",0.7
stephen,13,253,0,{},0.0
towelie,9,114,6,{'weed': 6},5.26
josh,8,127,2,"{'damn': 1, 'god': 1}",1.57
butters,8,99,0,{},0.0
santa,7,80,5,"{'fuck': 1, 'fuckin': 1, 'sucking': 1, 'dick': 1, 'cunts': 1}",6.25
stuart,6,75,1,{'shit': 1},1.33
kenny,6,61,1,{'stupid': 1},1.64
gerald,5,49,0,{},0.0
ryan,5,18,0,{},0.0
larry,4,84,2,"{'ass': 1, 'suck': 1}",2.38
man 5,4,59,1,{'weed': 1},1.69
tom,3,92,0,{},0.0
mayor,3,40,0,{},0.0
man 4,3,37,1,{'weed': 1},2.7
mr zewiski,3,33,1,{'weed': 1},3.03
linda,3,25,0,{},0.0
singers,3,23,0,{},0.0
sarah,3,9,0,{},0.0
man 3,2,31,2,"{'weed': 1, 'stupid': 1}",6.45
driver,2,23,2,"{'weed': 1, 'fuck': 1}",8.7
richard,2,23,0,{},0.0
alexa,2,7,1,{'kill': 1},14.29
crowd,2,5,0,{},0.0
dj,1,36,0,{},0.0
sharon,1,20,1,{'weed': 1},5.0
woman 1,1,17,0,{},0.0
mackey,1,16,0,{},0.0
man 8,1,14,0,{},0.0
kids,1,12,0,{},0.0
announcer,1,11,1,{'weed': 1},9.09
man 1,1,11,0,{},0.0
boy,1,10,0,{},0.0
man 2,1,8,0,{},0.0
burly worker,1,6,0,{},0.0
woman 2,1,5,0,{},0.0
strikers,1,5,0,{},0.0
singer,1,5,0,{},0.0
mall worker 8,1,4,0,{},0.0
mrs zewiski,1,4,0,{},0.0
woman 3,1,3,0,{},0.0
man 7,1,2,0,{},0.0
girl,1,1,0,{},0.0
sally,1,1,0,{},0.0
all four,1,1,0,{},0.0
man 6,1,1,0,{},0.0
