Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
mr hankey,49,942,14,"{'fuck': 4, 'suck': 1, 'homos': 1, 'dick': 1, 'crap': 1, 'fucking': 1, 'whiz': 1, 'stupid': 1, 'god': 1, 'goddamned': 1, 'shitty': 1}",1.49
pc principal,32,429,0,{},0.0
strong woman,28,334,2,"{'sperm': 1, 'god': 1}",0.6
kyle,26,257,5,"{'retarded': 1, 'homos': 1, 'pissed': 1, 'whore': 1, 'shitty': 1}",1.95
mayor mcdaniels,11,189,1,{'pussy': 1},0.53
stan,7,43,0,{},0.0
cartman,7,39,1,{'shit': 1},2.56
dr bender,6,117,0,{},0.0
mr waithouse,6,83,3,"{'god': 1, 'douchebag': 1, 'whore': 1}",3.61
man with orange shirt,4,33,0,{},0.0
jogger,2,31,0,{},0.0
randy,2,28,2,"{'god': 1, 'hell': 1}",7.14
councilwoman,2,24,2,"{'god': 1, 'shit': 1}",8.33
female nurse,2,19,0,{},0.0
voice over,2,18,0,{},0.0
elderly woman,2,10,0,{},0.0
all,2,2,0,{},0.0
newscaster,1,53,1,{'poop': 1},1.89
gerald,1,18,1,{'poop': 1},5.56
female lawyer,1,17,0,{},0.0
apu,1,14,0,{},0.0
male lawyer,1,13,2,"{'suck': 1, 'dick': 1}",15.38
mr prewitt,1,10,1,{'shit': 1},10.0
man 4,1,10,0,{},0.0
man 5,1,9,2,"{'crap': 1, 'asshole': 1}",22.22
mayors aide,1,9,0,{},0.0
mrs testaburger,1,9,0,{},0.0
craig,1,8,0,{},0.0
male nurse,1,8,0,{},0.0
man 3,1,8,0,{},0.0
ryan,1,7,0,{},0.0
man 2,1,7,0,{},0.0
bart,1,4,1,{'crap': 1},25.0
mother,1,3,1,{'shit': 1},33.33
woman 2,1,3,0,{},0.0
girl,1,3,0,{},0.0
woman 1,1,2,0,{},0.0
kenny,1,1,0,{},0.0
