Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
kyle,58,446,5,"{'shit': 3, 'ass': 1, 'stupid': 1}",1.12
randy,54,760,28,"{'butthole': 5, 'pussy': 5, 'hemp': 4, 'shit': 2, 'fucking': 2, 'stupid': 2, 'raping': 1, 'willy': 1, 'penis': 1, 'ass': 1, 'fuckin': 1, 'puss': 1, 'pussies': 1, 'hell': 1}",3.68
cartman,54,681,7,"{'hooker': 3, 'shit': 2, 'ass': 1, 'pissed': 1}",1.03
butters,21,141,0,{},0.0
stan,13,107,3,"{'sucks': 2, 'god': 1}",2.8
vape rep,11,110,1,{'pussy': 1},0.91
towelie,8,111,4,"{'shit': 3, 'bitch': 1}",3.6
mr mackey,7,120,2,{'butthole': 2},1.67
sharon,7,51,0,{},0.0
vape dealer,7,43,1,{'hooker': 1},2.33
joe,4,44,0,{},0.0
spin doctors,4,11,0,{},0.0
jenny,3,25,0,{},0.0
vaping man,3,22,2,"{'bitches': 1, 'motherfuckin': 1}",9.09
ike,3,15,0,{},0.0
ms blaze,2,12,0,{},0.0
bodybuilder,2,11,1,{'pussy': 1},9.09
boy,2,9,0,{},0.0
voice over,1,18,1,{'weed': 1},5.56
clerk,1,10,0,{},0.0
quaid,1,7,1,{'bitch': 1},14.29
spin doctorsrobert tepper,1,5,0,{},0.0
nelson,1,4,0,{},0.0
robert tepper,1,3,0,{},0.0
patron,1,3,0,{},0.0
