Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
mackey,36,543,14,"{'fuckin': 3, 'hell': 2, 'fuck': 2, 'damn': 2, 'god': 2, 'goddamned': 2, 'weenie': 1}",2.58
cartman,27,274,1,{'ass': 1},0.36
kenny,23,231,5,"{'sucks': 2, 'hell': 1, 'shits': 1, 'fuck': 1}",2.16
stan,15,138,1,{'stupid': 1},0.72
kyle,14,103,2,{'god': 2},1.94
stephen,11,191,0,{},0.0
lolly,10,93,0,{},0.0
clyde,7,120,0,{},0.0
adult kenny,6,171,0,{},0.0
randy,5,58,0,{},0.0
jimbo,5,32,1,{'hell': 1},3.12
guard,3,47,0,{},0.0
neighbor,3,43,0,{},0.0
jimmy,3,19,1,{'shit': 1},5.26
linda,3,12,0,{},0.0
wendy,2,28,1,{'jerks': 1},3.57
mr mackey,2,19,2,"{'damn': 1, 'hell': 1}",10.53
rider 7,2,13,0,{},0.0
tolkien,2,10,1,{'god': 1},10.0
officer brown,1,86,0,{},0.0
sgt yates,1,45,0,{},0.0
richard,1,16,1,{'god': 1},6.25
yates,1,16,0,{},0.0
reporter,1,14,0,{},0.0
craig,1,11,0,{},0.0
gerald,1,9,0,{},0.0
butters,1,8,0,{},0.0
sharon,1,7,0,{},0.0
rider 10,1,7,0,{},0.0
townsfolk,1,6,0,{},0.0
townsman,1,5,0,{},0.0
associate,1,3,0,{},0.0
the boys,1,3,0,{},0.0
all,1,2,0,{},0.0
rider 3,1,2,0,{},0.0
rider 5,1,2,0,{},0.0
rider 6,1,2,0,{},0.0
rider 8,1,2,0,{},0.0
rider 9,1,2,0,{},0.0
officer,1,2,0,{},0.0
rider 1,1,1,0,{},0.0
rider 2,1,1,0,{},0.0
rider 4,1,1,0,{},0.0
