Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
gore,36,687,6,"{'hell': 2, 'sucks': 1, 'god': 1, 'bitchin': 1, 'dick': 1}",0.87
yates,32,775,24,"{'damn': 4, 'god': 3, 'hell': 3, 'bitch': 2, 'ass': 1, 'shitheads': 1, 'peckers': 1, 'shitty': 1, 'fuckwads': 1, 'fat': 1, 'ugly': 1, 'gal': 1, 'sniper': 1, 'fuckin': 1, 'fuckers': 1, 'goddamned': 1}",3.1
stan,27,373,6,"{'fuck': 1, 'weirdo': 1, 'fucking': 1, 'shit': 1, 'god': 1, 'damn': 1}",1.61
kyle,21,154,0,{},0.0
cartman,18,148,4,"{'shit': 1, 'douchebag': 1, 'hell': 1, 'stupid': 1}",2.7
satan,10,169,0,{},0.0
jimbo,8,100,3,"{'shit': 1, 'poop': 1, 'hell': 1}",3.0
maggie,7,86,1,{'sniper': 1},1.16
kenny,7,25,3,"{'fuckin': 1, 'hell': 1, 'fuck': 1}",12.0
husband,5,180,0,{},0.0
officer 3,5,66,0,{},0.0
officer 2,5,38,0,{},0.0
ned,5,24,1,{'ass': 1},4.17
susan,4,29,0,{},0.0
receptionist,3,32,0,{},0.0
strong woman,3,28,1,{'god': 1},3.57
the boys,3,21,0,{},0.0
officer 4,2,30,0,{},0.0
randy,2,19,1,{'hell': 1},5.26
officer 5,2,15,0,{},0.0
mackey,1,18,0,{},0.0
yatess,1,17,2,"{'god': 1, 'damn': 1}",11.76
officer 1,1,6,0,{},0.0
boys,1,6,0,{},0.0
female officer,1,6,0,{},0.0
marvin,1,5,0,{},0.0
brown,1,3,1,{'hell': 1},33.33
officer 6,1,3,0,{},0.0
