Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stephen,23,463,4,"{'ass': 1, 'fuck': 1, 'hell': 1, 'bitch': 1}",0.86
stan,23,226,3,"{'stupid': 2, 'shit': 1}",1.33
cartman,15,238,0,{},0.0
josh,15,190,2,"{'organs': 1, 'hell': 1}",1.05
bezos,13,259,1,{'fucking': 1},0.39
gruff worker,10,132,2,"{'fook': 1, 'hell': 1}",1.52
mayor,10,90,0,{},0.0
kyle,9,73,0,{},0.0
butters,7,100,0,{},0.0
stuart,7,100,0,{},0.0
linda,7,45,0,{},0.0
kenny,7,28,3,"{'stupid': 1, 'shit': 1, 'fuck': 1}",10.71
tom,6,153,0,{},0.0
janson,4,18,0,{},0.0
mall worker 1,3,23,0,{},0.0
larry,2,33,0,{},0.0
randy,2,27,2,"{'weed': 1, 'shit': 1}",7.41
skeeter,2,22,0,{},0.0
bearded worker,2,10,0,{},0.0
liane,2,10,0,{},0.0
mall worker 6,2,9,0,{},0.0
mall worker 5,2,7,0,{},0.0
mall worker 4,2,6,0,{},0.0
mall workers,2,3,0,{},0.0
mayor mcdanniels,1,24,1,{'damn': 1},4.17
richard,1,21,0,{},0.0
mall worker 7,1,17,0,{},0.0
strikers,1,12,0,{},0.0
tennessee ernie ford,1,9,0,{},0.0
mercedes,1,8,0,{},0.0
customers,1,8,0,{},0.0
mall worker 2,1,7,0,{},0.0
irish singers,1,6,0,{},0.0
barkeep,1,6,0,{},0.0
porsche,1,5,0,{},0.0
beefy worker,1,4,0,{},0.0
mall worker 3,1,4,0,{},0.0
cinnaroll employee,1,3,0,{},0.0
wayne d,1,3,0,{},0.0
anita baker,1,2,0,{},0.0
hobby employee,1,2,0,{},0.0
build a bear workshop employee,1,2,0,{},0.0
trey,1,1,0,{},0.0
gamestop employee,1,1,0,{},0.0
