Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
randy,34,636,19,"{'weed': 10, 'fuck': 2, 'hell': 1, 'assholes': 1, 'screwing': 1, 'pot': 1, 'stupid': 1, 'shits': 1, 'bitch': 1}",2.99
jeff,32,384,3,"{'hell': 1, 'stupid': 1, 'shit': 1}",0.78
kyle,25,319,5,"{'fuck': 2, 'fat': 1, 'asshole': 1, 'kill': 1}",1.57
cartman,18,486,10,"{'sucks': 2, 'pissed': 2, 'god': 2, 'weed': 1, 'sucked': 1, 'butthole': 1, 'dick': 1}",2.06
david,18,174,2,"{'hell': 1, 'god': 1}",1.15
stephen,15,136,7,{'weed': 7},5.15
towelie,9,103,7,"{'weed': 3, 'fuck': 2, 'god': 1, 'stupid': 1}",6.8
stan,8,102,2,"{'weed': 1, 'piss': 1}",1.96
news anchor,5,70,0,{},0.0
cmdr miller,5,58,0,{},0.0
mexican joker,5,47,3,"{'rape': 2, 'kill': 1}",6.38
gerald,5,39,1,{'fuck': 1},2.56
jimbo,5,24,5,{'weed': 5},20.83
mr mackey,4,67,4,{'weed': 4},5.97
princess star,4,49,0,{},0.0
bigwig 1,4,48,1,{'weed': 1},2.08
agent 1,4,44,0,{},0.0
sheila,4,19,0,{},0.0
wife,4,13,0,{},0.0
agent 3,3,30,0,{},0.0
clerk 2,3,29,0,{},0.0
husband,3,26,1,{'weed': 1},3.85
agent 2,3,20,0,{},0.0
rodgers,3,17,0,{},0.0
agent 5,2,21,0,{},0.0
clerk 1,2,10,0,{},0.0
girl,2,7,0,{},0.0
bigwig 2,1,13,0,{},0.0
esposa,1,11,0,{},0.0
jack,1,11,0,{},0.0
diego,1,8,0,{},0.0
boy,1,6,0,{},0.0
kids,1,6,0,{},0.0
agent 4,1,4,0,{},0.0
agent 6,1,4,0,{},0.0
sharon,1,4,0,{},0.0
ike,1,2,0,{},0.0
martinez,1,1,0,{},0.0
aguilar,1,1,0,{},0.0
