Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
randy,44,557,3,"{'weed': 1, 'hell': 1, 'fuck': 1}",0.54
santa,25,378,11,"{'drunk': 2, 'assholes': 2, 'fucking': 2, 'shit': 2, 'god': 1, 'hell': 1, 'mutherfucker': 1}",2.91
stephen,24,214,3,"{'fuck': 1, 'god': 1, 'hell': 1}",1.4
mayor,17,215,2,"{'weed': 1, 'god': 1}",0.93
jesus,7,78,0,{},0.0
towelie,7,71,0,{},0.0
jimbo,6,53,2,"{'hells': 1, 'hell': 1}",3.77
butters,4,61,0,{},0.0
cartman,4,58,3,"{'shitty': 1, 'screwed': 1, 'tits': 1}",5.17
bob,3,34,0,{},0.0
mr mackey,3,32,0,{},0.0
liane,3,13,0,{},0.0
announcer 2,2,128,1,{'ass': 1},0.78
worker,2,37,0,{},0.0
jimmy,2,32,0,{},0.0
craig,2,30,0,{},0.0
proprietor,2,28,0,{},0.0
jason,2,25,0,{},0.0
linda,2,20,0,{},0.0
thomas,2,19,0,{},0.0
shelley,2,10,1,{'stupid': 1},10.0
richard,2,10,1,{'bitch': 1},10.0
all,2,2,0,{},0.0
woman,1,20,1,{'drunk': 1},5.0
mayor mcdaniels,1,20,0,{},0.0
laura,1,16,0,{},0.0
skeeter,1,15,0,{},0.0
janson,1,15,0,{},0.0
townsman 1,1,13,1,{'kill': 1},7.69
linda b,1,12,0,{},0.0
steve,1,11,1,{'shit': 1},9.09
mrs tweek,1,10,1,{'weed': 1},10.0
townsman 3,1,10,0,{},0.0
mr testaburger,1,9,0,{},0.0
announcer,1,8,0,{},0.0
townsman 2,1,7,0,{},0.0
elf,1,6,0,{},0.0
kyle,1,5,1,{'hell': 1},20.0
jason the manager,1,4,0,{},0.0
linda stotch,1,4,0,{},0.0
townsman 4,1,4,0,{},0.0
driver,1,3,0,{},0.0
townsman voice,1,3,0,{},0.0
female driver,1,3,0,{},0.0
jim,1,2,0,{},0.0
kenny,1,2,0,{},0.0
the boys,1,1,0,{},0.0
gerald,1,1,0,{},0.0
