Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
strong woman,33,488,2,"{'asshole': 1, 'god': 1}",0.41
pc principal,31,367,4,"{'shit': 2, 'fucking': 1, 'damn': 1}",1.09
heather,29,593,5,"{'fuckin': 1, 'ass': 1, 'hell': 1, 'shit': 1, 'vagina': 1}",0.84
cartman,28,567,6,"{'stupid': 4, 'shit': 1, 'fuck': 1}",1.06
stan,12,98,1,{'stupid': 1},1.02
nichole,10,155,1,{'bitch': 1},0.65
david,9,139,0,{},0.0
butters,9,119,1,{'kill': 1},0.84
pete,7,194,2,"{'fat': 1, 'dick': 1}",1.03
scott,7,66,1,{'fuck': 1},1.52
mr mackey,5,82,1,{'asses': 1},1.22
clyde,5,41,0,{},0.0
tammy,4,49,0,{},0.0
emory,3,15,0,{},0.0
janet,2,37,0,{},0.0
mma host,2,33,0,{},0.0
babies,2,6,0,{},0.0
anderson cooper,1,10,0,{},0.0
announcer,1,10,0,{},0.0
kelly,1,7,0,{},0.0
kyle,1,6,0,{},0.0
pc girl,1,5,0,{},0.0
heather swanson,1,3,1,{'fuck': 1},33.33
pc boy,1,1,0,{},0.0
