Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,58,1035,7,"{'shit': 2, 'hell': 2, 'fucking': 2, 'god': 1}",0.68
liane,41,511,0,{},0.0
john,22,482,2,"{'god': 1, 'damn': 1}",0.41
harriet,8,79,2,"{'fat': 1, 'fucking': 1}",2.53
city man,8,42,0,{},0.0
butters,7,46,0,{},0.0
mayor mcdaniels,6,148,0,{},0.0
realtor,6,96,0,{},0.0
jimbo,6,55,3,"{'damn': 2, 'hell': 1}",5.45
tuong lu kim,5,142,22,{'shitty': 22},15.49
realtors,5,13,0,{},0.0
richard,4,24,0,{},0.0
city woman,4,10,0,{},0.0
mr adler,3,53,0,{},0.0
chris,3,15,0,{},0.0
city people,2,8,0,{},0.0
city man 2,2,6,0,{},0.0
city man 3,2,3,0,{},0.0
agent 1,1,50,0,{},0.0
agent 3,1,39,0,{},0.0
agent 2,1,37,0,{},0.0
hot dog owner,1,19,0,{},0.0
mrs tweak,1,5,1,{'sucked': 1},20.0
city girl,1,4,0,{},0.0
city woman 2,1,3,0,{},0.0
all,1,2,0,{},0.0
city boy,1,2,0,{},0.0
city man 4,1,1,0,{},0.0
