Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
mr mackey,47,694,7,"{'fucking': 2, 'shit': 1, 'hell': 1, 'goddamn': 1, 'dick': 1, 'dicks': 1}",1.01
stephen,27,361,8,"{'hell': 3, 'shit': 2, 'fuck': 1, 'sucks': 1, 'prick': 1}",2.22
butters,25,452,7,"{'poop': 5, 'boner': 1, 'sex': 1}",1.55
mr mackeys mom,11,190,4,{'pee': 4},2.11
pc principal,7,105,0,{},0.0
linda,7,47,0,{},0.0
dressage announcer,4,69,0,{},0.0
norad director,4,24,1,{'hell': 1},4.17
music,3,12,0,{},0.0
mr garrison,2,105,0,{},0.0
dressage instructor,2,46,0,{},0.0
kremlin man 1,2,29,0,{},0.0
norad man 1,2,28,0,{},0.0
sergei shoigu,2,26,0,{},0.0
narrator,2,22,0,{},0.0
referee,2,8,0,{},0.0
girls,2,3,0,{},0.0
stephen and linda,2,2,0,{},0.0
norad man 2,1,12,0,{},0.0
wendy,1,10,0,{},0.0
man,1,9,0,{},0.0
norad man 3,1,9,0,{},0.0
girl 1,1,8,0,{},0.0
mrmackey,1,7,0,{},0.0
girl 2,1,6,0,{},0.0
clyde,1,2,0,{},0.0
kelly,1,2,0,{},0.0
katie,1,2,0,{},0.0
crowd,1,2,0,{},0.0
putin,1,2,0,{},0.0
norad employees,1,1,0,{},0.0
davey solokov,1,1,0,{},0.0
