Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
randy,48,899,24,"{'weed': 6, 'shit': 4, 'weeds': 3, 'fuck': 2, 'fucking': 2, 'god': 1, 'damn': 1, 'fucked': 1, 'motherfucker': 1, 'bitch': 1, 'hell': 1, 'slaves': 1}",2.67
butters,41,610,8,"{'god': 5, 'slave': 3}",1.31
steve,21,190,1,{'weed': 1},0.53
officer,17,175,9,"{'god': 3, 'weed': 2, 'shithead': 1, 'sexual': 1, 'ass': 1, 'shit': 1}",5.14
stan,13,84,2,"{'fuck': 1, 'god': 1}",2.38
public defender,10,91,1,{'fucking': 1},1.1
saint patrick,8,161,8,"{'dick': 2, 'fuck': 2, 'drunk': 1, 'bitch': 1, 'fucking': 1, 'sucks': 1}",4.97
yates,7,107,2,"{'goddamn': 1, 'sexual': 1}",1.87
towelie,7,75,2,{'weed': 2},2.67
johnson,7,42,1,{'sexual': 1},2.38
man,6,46,4,"{'hell': 2, 'jerk': 1, 'weed': 1}",8.7
farty ocool,5,87,2,{'weed': 2},2.3
cartman,5,52,0,{},0.0
woman,5,26,4,"{'god': 3, 'sexual': 1}",15.38
officers,5,11,0,{},0.0
linda black,4,40,4,"{'weed': 3, 'god': 1}",10.0
sharon,4,40,0,{},0.0
tom,2,88,2,{'sexual': 2},2.27
announcer,2,26,1,{'weed': 1},3.85
linda,2,12,0,{},0.0
stevens,2,7,0,{},0.0
everyone,2,2,0,{},0.0
bill,1,48,1,{'sexual': 1},2.08
stephen,1,11,0,{},0.0
patron,1,9,0,{},0.0
kelly ann,1,4,0,{},0.0
kyle,1,2,0,{},0.0
