Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
randy,80,1096,15,"{'weed': 3, 'shit': 2, 'ass': 2, 'vagina': 1, 'anus': 1, 'fuck': 1, 'stupid': 1, 'jerk': 1, 'shitty': 1, 'fucking': 1, 'goddamn': 1}",1.37
stan,42,386,5,"{'fuck': 2, 'stupid': 1, 'jerk': 1, 'buttholes': 1}",1.3
sharon,20,130,1,{'weed': 1},0.77
jimmy,16,419,5,"{'ass': 1, 'shit': 1, 'buttholes': 1, 'anal': 1, 'kill': 1}",1.19
dr sheltair,14,180,2,"{'stupid': 1, 'bastards': 1}",1.11
home depot employee,12,209,0,{},0.0
harris,10,90,1,{'shit': 1},1.11
doctor,5,41,0,{},0.0
stephen,5,34,0,{},0.0
japanese delivery man,5,12,0,{},0.0
officer,4,63,0,{},0.0
richard,4,9,0,{},0.0
butters,3,51,0,{},0.0
waitress,2,17,0,{},0.0
cartman,2,12,1,{'shit': 1},8.33
delivery men,2,8,0,{},0.0
crowd,2,3,0,{},0.0
mayor mcdaniels,1,24,0,{},0.0
betsy,1,19,1,{'bitch': 1},5.26
rick,1,16,0,{},0.0
a girl,1,11,0,{},0.0
clyde,1,9,0,{},0.0
mrs tweak,1,9,0,{},0.0
peter,1,9,0,{},0.0
sheila,1,7,0,{},0.0
linda,1,5,0,{},0.0
man 2,1,4,0,{},0.0
man,1,2,1,{'shit': 1},50.0
shelly,1,2,0,{},0.0
man 1,1,1,0,{},0.0
