Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,44,498,4,"{'shit': 3, 'god': 1}",0.8
mr garrison,38,700,8,"{'stupid': 4, 'god': 2, 'shit': 1, 'fucking': 1}",1.14
wendy,25,305,0,{},0.0
cartman,19,308,14,"{'god': 5, 'fucking': 3, 'damn': 2, 'hell': 1, 'screwed': 1, 'fuck': 1, 'screw': 1}",4.55
mr mackey,19,257,0,{},0.0
clyde,18,287,5,"{'goddamn': 1, 'stupid': 1, 'shit': 1, 'fucking': 1, 'kill': 1}",1.74
rick,16,112,0,{},0.0
school advisory board technician,10,176,0,{},0.0
bebe,9,150,1,{'omg': 1},0.67
butters,5,30,0,{},0.0
red,4,19,1,{'goddamn': 1},5.26
chatgpt,3,61,0,{},0.0
kyle,2,17,0,{},0.0
secretary,1,16,0,{},0.0
bobby palmer,1,13,0,{},0.0
police officer,1,10,0,{},0.0
betsy,1,8,0,{},0.0
nichole,1,5,0,{},0.0
nelly,1,3,0,{},0.0
nichole betsy nelly and red,1,1,0,{},0.0
nichole betsy and red,1,1,0,{},0.0
students,1,1,0,{},0.0
