Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,50,501,4,"{'fatass': 2, 'stupid': 1, 'god': 1}",0.8
cartman,48,568,8,"{'god': 2, 'ass': 2, 'fat': 1, 'hell': 1, 'screw': 1, 'bitch': 1}",1.41
kyle,39,283,14,"{'fatass': 4, 'god': 3, 'dumbass': 1, 'stupid': 1, 'suck': 1, 'ass': 1, 'gay': 1, 'wads': 1, 'hell': 1}",4.95
jonathan,38,529,2,"{'hell': 1, 'maxi': 1}",0.38
brunet,15,243,5,"{'sex': 4, 'hell': 1}",2.06
david,15,166,0,{},0.0
sheila,13,81,2,"{'god': 1, 'sex': 1}",2.47
fieldy,12,139,0,{},0.0
head,9,84,0,{},0.0
kenny,9,68,4,"{'fuckin': 1, 'ass': 1, 'hell': 1, 'fuck': 1}",5.88
munky,9,51,0,{},0.0
dj,8,178,2,"{'maxi': 1, 'kill': 1}",1.12
priest maxi,8,122,2,{'god': 2},1.64
barbrady,7,108,2,"{'sex': 1, 'hell': 1}",1.85
boy in green shirt,6,84,0,{},0.0
blond,6,66,0,{},0.0
chef,6,48,0,{},0.0
crowd,6,7,0,{},0.0
man,5,15,1,{'maxi': 1},6.67
nibblet,5,15,0,{},0.0
korn,5,9,0,{},0.0
liane,4,25,1,{'fat': 1},4.0
all,4,7,0,{},0.0
mob,4,5,0,{},0.0
dr spookalot,3,26,0,{},0.0
randy,3,16,0,{},0.0
pirate ghosts,3,3,0,{},0.0
peg leg,3,3,0,{},0.0
secure group,3,3,0,{},0.0
pirate voice,2,34,1,{'hell': 1},2.94
mr garrison,2,33,0,{},0.0
sharon,2,30,0,{},0.0
delivery man,2,11,0,{},0.0
male voice,2,8,0,{},0.0
the boys,2,6,0,{},0.0
stan kyle kenny,2,2,0,{},0.0
gerald,1,28,1,{'maxi': 1},3.57
guide,1,16,0,{},0.0
jimbo,1,15,1,{'whore': 1},6.67
captain bly,1,10,0,{},0.0
man 2,1,8,0,{},0.0
woman,1,4,0,{},0.0
a voice,1,2,0,{},0.0
guests in line,1,1,0,{},0.0
pirate ghost cutout,1,1,0,{},0.0
pirates,1,1,0,{},0.0
pirate ghost 2,1,1,0,{},0.0
the others,1,1,0,{},0.0
some folks,1,1,0,{},0.0
fifth graders,1,1,0,{},0.0
stan kyle,1,1,0,{},0.0
