Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
mark,44,525,9,"{'bitch': 3, 'slut': 1, 'kill': 1, 'ass': 1, 'sexual': 1, 'god': 1, 'whore': 1}",1.71
kyle,43,337,2,"{'fatass': 1, 'suck': 1}",0.59
cartman,42,371,11,"{'hell': 2, 'bitch': 2, 'fuck': 1, 'crap': 1, 'god': 1, 'butthole': 1, 'ass': 1, 'screw': 1, 'damn': 1}",2.96
stan,34,276,8,"{'god': 2, 'fatass': 2, 'damn': 1, 'ass': 1, 'suck': 1, 'crap': 1}",2.9
mr cotswolds,33,415,3,{'god': 3},0.72
rebecca,30,247,1,{'ass': 1},0.4
mayor,19,183,0,{},0.0
jimbo,14,173,3,"{'bastard': 1, 'stupid': 1, 'bitch': 1}",1.73
mrs cotswolds,12,66,0,{},0.0
butters,11,124,2,"{'bitch': 1, 'ass': 1}",1.61
liane,10,107,0,{},0.0
craig,10,101,1,{'god': 1},0.99
mr garrison,6,123,2,"{'bastards': 1, 'god': 1}",1.63
randy,5,63,0,{},0.0
dio,4,65,0,{},0.0
gerald,4,36,0,{},0.0
pip,4,15,0,{},0.0
kenny,3,21,2,"{'faggot': 1, 'fuck': 1}",9.52
men,3,3,0,{},0.0
principal victoria,2,72,0,{},0.0
female voice,2,48,0,{},0.0
the cotswolds,2,9,0,{},0.0
boys,2,5,0,{},0.0
announcer,1,9,0,{},0.0
a voice,1,8,0,{},0.0
tolkien,1,4,1,{'damn': 1},25.0
both parents,1,1,0,{},0.0
bill,1,1,0,{},0.0
kids,1,1,0,{},0.0
