Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,40,388,6,"{'urinal': 1, 'kill': 1, 'pissed': 1, 'god': 1, 'ass': 1, 'shit': 1}",1.55
kyle,39,348,10,"{'fatass': 4, 'dumbass': 1, 'asshole': 1, 'god': 1, 'hell': 1, 'sucks': 1, 'ass': 1}",2.87
stan,38,226,6,"{'fatass': 1, 'ass': 1, 'hell': 1, 'screw': 1, 'dumbass': 1, 'buttholes': 1}",2.65
connelly,30,373,2,"{'god': 1, 'bitch': 1}",0.54
marvin,26,80,0,{},0.0
sphinx,21,282,0,{},0.0
hollis,18,238,3,"{'gods': 1, 'crap': 1, 'hell': 1}",1.26
sally,17,77,0,{},0.0
marklar,13,80,0,{},0.0
pat,7,375,3,"{'god': 2, 'fucking': 1}",0.8
boys,7,9,0,{},0.0
marklar leader,6,79,0,{},0.0
mayor,5,80,1,{'pecker': 1},1.25
singer,5,52,0,{},0.0
kenny,5,29,1,{'god': 1},3.45
brokaw,4,56,0,{},0.0
ethiopians,4,4,0,{},0.0
mr garrison,3,43,3,"{'gay': 2, 'bastards': 1}",6.98
the boys,3,4,0,{},0.0
600 crew,3,3,0,{},0.0
woman,2,77,0,{},0.0
susan,2,14,0,{},0.0
man,2,3,0,{},0.0
crowd,2,2,0,{},0.0
fbi agent,1,12,0,{},0.0
agent 1,1,11,0,{},0.0
man 5,1,10,0,{},0.0
marklar dispatcher,1,7,0,{},0.0
receptionist,1,7,0,{},0.0
man 3,1,5,0,{},0.0
man 1,1,4,0,{},0.0
man 4,1,4,0,{},0.0
computer,1,4,0,{},0.0
chief,1,3,0,{},0.0
ethiopian woman,1,3,0,{},0.0
man 2,1,3,0,{},0.0
dvda,1,3,0,{},0.0
ethiopian,1,2,0,{},0.0
stan kyle,1,2,0,{},0.0
crew,1,1,0,{},0.0
