Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
kyle,40,210,1,{'fatass': 1},0.48
cartman,38,117,10,"{'stupid': 9, 'hell': 1}",8.55
stan,28,85,0,{},0.0
sheila,23,112,0,{},0.0
jesus,22,145,1,{'virgin': 1},0.69
santa,21,144,2,"{'fucking': 1, 'fuck': 1}",1.39
gerald,21,61,0,{},0.0
satan,12,85,2,"{'hitler': 1, 'god': 1}",2.35
mr hankey,10,227,2,"{'suck': 1, 'hell': 1}",0.88
mailman,8,54,0,{},0.0
both,7,44,0,{},0.0
mailman and kids,7,41,0,{},0.0
left,6,43,2,"{'dong': 1, 'dong_________________mkay': 1}",4.65
anchor,6,27,1,{'ass': 1},3.7
right,6,17,3,"{'dong': 2, 'dong_______________________': 1}",17.65
center,5,40,3,{'dong': 3},7.5
with choir,5,35,3,{'hell': 3},8.57
all,5,35,3,"{'dong': 2, 'hell': 1}",8.57
kids,5,10,0,{},0.0
females,5,6,0,{},0.0
adolf,4,27,0,{},0.0
mr garrison,2,25,0,{},0.0
with boys,2,15,0,{},0.0
males,2,3,0,{},0.0
satan and males,2,2,0,{},0.0
emcee,1,19,0,{},0.0
centers and right,1,13,0,{},0.0
center 2,1,12,2,{'dong': 2},16.67
with the damned,1,12,0,{},0.0
man on porto potty,1,9,1,{'ass': 1},11.11
center 1,1,9,0,{},0.0
with the kennedys,1,8,1,{'god': 1},12.5
with males,1,8,0,{},0.0
with females,1,8,0,{},0.0
the boys,1,8,0,{},0.0
bradley biggle,1,7,0,{},0.0
shelly,1,7,0,{},0.0
girl 2,1,4,0,{},0.0
bailey,1,4,0,{},0.0
with demons,1,3,1,{'hell': 1},33.33
girl 1,1,3,0,{},0.0
boy 1,1,3,0,{},0.0
centers,1,3,0,{},0.0
to make it spin,1,1,0,{},0.0
alone,1,1,0,{},0.0
class,1,1,0,{},0.0
kenny,1,1,0,{},0.0
