Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,68,472,17,"{'hell': 5, 'bitch': 5, 'suck': 3, 'god': 2, 'screw': 1, 'damn': 1}",3.6
cartman,65,574,22,"{'bitch': 6, 'god': 3, 'asshole': 3, 'fat': 2, 'screwed': 2, 'stupid': 2, 'screw': 2, 'damn': 1, 'suck': 1}",3.83
kyle,53,384,9,"{'bitch': 3, 'hooker': 1, 'pissed': 1, 'fatass': 1, 'fat': 1, 'crap': 1, 'bastard': 1}",2.34
chef,42,468,3,"{'sexual': 1, 'sex': 1, 'screwing': 1}",0.64
thomas,27,587,8,"{'damn': 4, 'goddamn': 2, 'god': 1, 'goddam': 1}",1.36
doctor lout,25,286,1,{'organ': 1},0.35
veronica,18,150,1,{'god': 1},0.67
nellie,18,91,2,"{'ass': 1, 'damn': 1}",2.2
mr garrison,12,177,10,"{'poontang': 3, 'suck': 2, 'poontangs': 2, 'hell': 1, 'kill': 1, 'screw': 1}",5.65
chefs dad,7,94,0,{},0.0
mr derp,7,88,0,{},0.0
chefs mom,7,58,0,{},0.0
stan kyle,7,41,0,{},0.0
kenny,6,94,1,{'dick': 1},1.06
liane,6,51,1,{'fat': 1},1.96
receptionist,5,35,1,{'fat': 1},2.86
priest maxi,3,34,0,{},0.0
man,2,26,1,{'god': 1},3.85
the boys,2,3,0,{},0.0
kids,2,3,0,{},0.0
chef veronica,1,7,0,{},0.0
woman,1,5,0,{},0.0
mr hat,1,4,0,{},0.0
women,1,3,1,{'god': 1},33.33
doctors assistant,1,2,0,{},0.0
optometrist,1,2,0,{},0.0
boys,1,1,0,{},0.0
