Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,50,592,17,"{'ass': 4, 'poop': 4, 'bitches': 1, 'hell': 1, 'god': 1, 'damn': 1, 'pissed': 1, 'fat': 1, 'bitch': 1, 'asshole': 1, 'kill': 1}",2.87
stan,49,395,9,"{'pissed': 3, 'fatass': 1, 'hell': 1, 'screw': 1, 'damn': 1, 'god': 1, 'fucked': 1}",2.28
mr adler,43,527,13,"{'screw': 7, 'screwing': 3, 'hell': 2, 'god': 1}",2.47
tweek,39,134,2,"{'jerk': 1, 'bitch': 1}",1.49
kyle,36,292,11,"{'ass': 2, 'fatass': 2, 'sucks': 1, 'hell': 1, 'stupid': 1, 'fat': 1, 'boner': 1, 'bastards': 1, 'hooters': 1}",3.77
craig,29,120,5,"{'ass': 3, 'bitch': 1, 'kill': 1}",4.17
pearl,16,333,3,"{'sucking': 1, 'teats': 1, 'sex': 1}",0.9
kenny,15,52,2,"{'god': 1, 'damn': 1}",3.85
clyde,12,86,0,{},0.0
fiancée,10,213,0,{},0.0
jimbo,10,136,0,{},0.0
master,7,96,4,{'ass': 4},4.17
wendy,6,34,0,{},0.0
ned,5,18,1,{'ass': 1},5.56
richard tweak,4,86,0,{},0.0
bebe,4,45,1,{'sex': 1},2.22
mrs tweak,3,12,0,{},0.0
woman,2,48,0,{},0.0
class,2,16,0,{},0.0
thomas,2,6,0,{},0.0
stan kyle,2,4,0,{},0.0
crowd,2,2,0,{},0.0
voice,1,25,0,{},0.0
nurse,1,16,0,{},0.0
richard,1,10,0,{},0.0
gramma,1,8,0,{},0.0
laura tucker,1,5,0,{},0.0
man,1,4,0,{},0.0
tolkien,1,3,0,{},0.0
uncle corey,1,3,0,{},0.0
annie,1,2,0,{},0.0
thomas tucker,1,2,0,{},0.0
tweek craig,1,1,0,{},0.0
