Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,50,678,12,"{'screw': 5, 'stupid': 1, 'douchebag': 1, 'crap': 1, 'screwed': 1, 'bitch': 1, 'hell': 1, 'assholes': 1}",1.77
stan,44,337,10,"{'ass': 2, 'fat': 2, 'pee': 1, 'hell': 1, 'kill': 1, 'sex': 1, 'god': 1, 'bitch': 1}",2.97
mr garrison,40,902,8,"{'god': 3, 'crap': 2, 'hell': 1, 'stupid': 1, 'ass': 1}",0.89
kyle,36,264,12,"{'fat': 3, 'ass': 3, 'crap': 2, 'goddammit': 1, 'damn': 1, 'dumbass': 1, 'screw': 1}",4.55
bsm 471,23,476,1,{'kill': 1},0.21
filmore,15,121,1,{'stupid': 1},0.83
bill,12,110,0,{},0.0
trapper keeper,9,34,0,{},0.0
sally,8,50,0,{},0.0
ike,7,20,0,{},0.0
rosie odonnell,6,116,0,{},0.0
flora,6,16,0,{},0.0
liane,5,51,0,{},0.0
barbrady,5,28,0,{},0.0
bil,4,27,0,{},0.0
supporters,4,12,0,{},0.0
guard 2,3,21,0,{},0.0
jesse jackson,3,19,0,{},0.0
boy 1,2,45,0,{},0.0
mark,2,26,0,{},0.0
man,2,20,0,{},0.0
boy 2,2,20,0,{},0.0
rosie,2,19,0,{},0.0
 trapper keeper,2,8,0,{},0.0
stankyle,2,4,0,{},0.0
kids,2,3,0,{},0.0
other kids,2,2,0,{},0.0
boy ,1,13,0,{},0.0
fillmore,1,12,0,{},0.0
girl,1,6,0,{},0.0
kid 2,1,6,0,{},0.0
ms crabtree,1,5,0,{},0.0
jenny,1,4,0,{},0.0
filmores supporters,1,4,0,{},0.0
ike supporter,1,3,0,{},0.0
kenny,1,2,0,{},0.0
two kids,1,1,0,{},0.0
some kids,1,1,0,{},0.0
stankyle kenny,1,1,0,{},0.0
ladies,1,1,0,{},0.0
cops,1,1,0,{},0.0
