Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,35,318,5,"{'damn': 2, 'stupid': 1, 'ass': 1, 'bastards': 1}",1.57
kenny,27,104,1,{'damn': 1},0.96
cartman,25,205,13,"{'god': 2, 'dumbass': 1, 'fag': 1, 'gay': 1, 'bitches': 1, 'ass': 1, 'damn': 1, 'screwed': 1, 'hell': 1, 'suck': 1, 'dicks': 1, 'screw': 1}",6.34
grandpa,22,215,10,"{'hell': 2, 'crap': 1, 'peckers': 1, 'fag': 1, 'ass': 1, 'damn': 1, 'crotch': 1, 'hells': 1, 'pussy': 1}",4.65
randy,22,146,0,{},0.0
sharon,21,221,1,{'god': 1},0.45
kyle,20,142,3,"{'hell': 1, 'sucks': 1, 'screw': 1}",2.11
janet reno,15,174,1,{'god': 1},0.57
romanian official,14,100,1,{'kill': 1},1.0
grandmama,13,144,0,{},0.0
quint 2,9,72,0,{},0.0
quint 1,8,57,0,{},0.0
quint 3,7,86,2,{'stupid': 2},2.33
soldier,6,69,0,{},0.0
music instructor,5,76,1,{'god': 1},1.32
carol,5,37,0,{},0.0
officer 3,5,20,1,{'asshole': 1},5.0
reporter,4,160,1,{'asshole': 1},0.62
instructor,4,53,0,{},0.0
man,4,48,0,{},0.0
narrator,4,38,0,{},0.0
a quint,4,13,0,{},0.0
mrs mccormick,3,43,0,{},0.0
sheila,3,21,0,{},0.0
protesters,3,19,4,"{'gay': 2, 'sucks': 2}",21.05
quint 5,3,12,1,{'asses': 1},8.33
attendant,3,12,0,{},0.0
protester,3,7,0,{},0.0
officer 1,2,26,1,{'god': 1},3.85
stephen stotch,2,20,3,"{'murder': 2, 'sucks': 1}",15.0
president,2,17,1,{'stupid': 1},5.88
nadia,2,13,0,{},0.0
officer 2,2,13,0,{},0.0
officer 7,2,11,0,{},0.0
romanian protesters,2,10,0,{},0.0
mr vladchick,2,9,0,{},0.0
liane,2,7,0,{},0.0
quint 4,2,4,0,{},0.0
the boys,2,3,0,{},0.0
stan kyle cartman,2,2,0,{},0.0
voice,2,2,0,{},0.0
stuart,1,48,0,{},0.0
photographer,1,35,0,{},0.0
lead agent collins,1,27,0,{},0.0
announcer,1,15,0,{},0.0
anchor tom,1,15,0,{},0.0
lead soldier,1,14,0,{},0.0
protester 3,1,11,0,{},0.0
assistant,1,10,0,{},0.0
phillip,1,8,1,{'fart': 1},12.5
protester 4,1,8,0,{},0.0
clown,1,7,0,{},0.0
terrance,1,7,0,{},0.0
top girl,1,5,0,{},0.0
officer 6,1,5,0,{},0.0
all five quints in unison,1,4,0,{},0.0
a fan,1,4,0,{},0.0
officer 5,1,4,0,{},0.0
officer 9,1,4,0,{},0.0
officer 10,1,4,0,{},0.0
native paddler in vest,1,3,0,{},0.0
protester 7,1,3,0,{},0.0
officer 8,1,3,0,{},0.0
a protester,1,2,1,{'sucks': 1},50.0
officer 4,1,2,0,{},0.0
cartman kyle kenny,1,1,0,{},0.0
stan kyle,1,1,0,{},0.0
all three men,1,1,0,{},0.0
collins,1,1,0,{},0.0
protester 1,1,1,0,{},0.0
protester 2,1,1,0,{},0.0
protester 5,1,1,0,{},0.0
protester 6,1,1,0,{},0.0
