Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,66,719,12,"{'hell': 3, 'god': 3, 'shit': 1, 'fat': 1, 'fatass': 1, 'ass': 1, 'suck': 1, 'kill': 1}",1.67
cartman,42,431,8,"{'asshole': 2, 'pot': 1, 'bitch': 1, 'hell': 1, 'god': 1, 'pissed': 1, 'kill': 1}",1.86
mr garrison,26,315,8,"{'hell': 2, 'poontang': 1, 'poon': 1, 'breasts': 1, 'dongs': 1, 'schlongs': 1, 'penis': 1}",2.54
sharon,19,178,2,"{'tampon': 1, 'raped': 1}",1.12
miss information,18,282,0,{},0.0
sheila,17,140,0,{},0.0
kenny,13,59,3,"{'fucking': 1, 'bullshit': 1, 'screw': 1}",5.08
chief running pinto,11,135,2,{'tampons': 2},1.48
dr doctor,10,195,0,{},0.0
publisher,9,109,4,"{'gay': 2, 'penis': 1, 'organs': 1}",3.67
carlos ramirez,9,75,0,{},0.0
mr wyland,8,166,0,{},0.0
butters,8,64,0,{},0.0
mr mackey,6,63,0,{},0.0
mother,6,49,1,{'tampon': 1},2.04
kyle,6,25,0,{},0.0
chairman,5,70,0,{},0.0
daughter,5,51,1,{'tampons': 1},1.96
liane,4,40,0,{},0.0
man 7,4,35,0,{},0.0
timmy,4,4,0,{},0.0
board member,2,30,0,{},0.0
blonde mother,2,16,0,{},0.0
nurse,2,12,0,{},0.0
man 8,2,9,0,{},0.0
woman 1,2,8,1,{'kill': 1},12.5
customers,2,2,0,{},0.0
chief running pinto tommy chong in his stoner voice,1,17,1,{'tampons': 1},5.88
principal victoria,1,14,1,{'sex': 1},7.14
female announcer,1,9,1,{'tampon': 1},11.11
man 6,1,9,0,{},0.0
wendy,1,7,0,{},0.0
man 4,1,7,0,{},0.0
mrstucker,1,6,1,{'tampons': 1},16.67
mrs tweak,1,5,0,{},0.0
other mothers,1,5,0,{},0.0
man 5,1,5,0,{},0.0
man 1,1,4,0,{},0.0
man 2,1,4,0,{},0.0
gerald,1,3,1,{'god': 1},33.33
mover,1,3,0,{},0.0
jessie,1,2,0,{},0.0
man,1,2,0,{},0.0
the class,1,1,0,{},0.0
man 3,1,1,0,{},0.0
