Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,107,1293,41,"{'god': 24, 'hell': 3, 'hooters': 2, 'naked': 2, 'asshole': 1, 'dumbass': 1, 'goddammit': 1, 'ass': 1, 'screws': 1, 'sucks': 1, 'bitch': 1, 'bastard': 1, 'screw': 1, 'pussy': 1}",3.17
randy,50,687,4,"{'hell': 1, 'pissed': 1, 'god': 1, 'stupid': 1}",0.58
stan,44,340,5,"{'facial': 1, 'pissed': 1, 'hell': 1, 'stupid': 1, 'god': 1}",1.47
kyle,30,177,9,"{'hell': 3, 'fatass': 1, 'douche': 1, 'stupid': 1, 'bastards': 1, 'suck': 1, 'gods': 1}",5.08
manager,24,200,0,{},0.0
veteran guard,17,203,1,{'god': 1},0.49
chef,8,148,0,{},0.0
producer,7,91,0,{},0.0
sharon,6,63,1,{'ass': 1},1.59
mr allens,6,52,0,{},0.0
kenny,6,38,3,"{'fuckin': 1, 'stupid': 1, 'vagina': 1}",7.89
fingerbang,5,17,0,{},0.0
timmy,5,9,0,{},0.0
ike,4,38,0,{},0.0
bebe,4,28,1,{'ass': 1},3.57
woman,4,27,1,{'stupid': 1},3.7
man,4,25,0,{},0.0
butters,3,19,0,{},0.0
wendy,3,16,0,{},0.0
rookie guard,3,9,0,{},0.0
girls,3,7,0,{},0.0
little girl,2,25,0,{},0.0
madman,2,18,0,{},0.0
mr mackey,2,16,0,{},0.0
shelly,2,10,2,{'ass': 2},20.0
ghetto avenue boys,2,7,0,{},0.0
announcer,1,17,0,{},0.0
liane,1,13,0,{},0.0
schroeder,1,2,0,{},0.0
tow truck driver,1,2,0,{},0.0
women,1,2,0,{},0.0
other girls red annie and milly,1,1,0,{},0.0
