Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,52,652,14,"{'god': 5, 'hell': 3, 'pee': 2, 'penetration': 1, 'screwed': 1, 'ass': 1, 'gods': 1}",2.15
satan,50,483,6,"{'god': 2, 'hell': 2, 'fucking': 1, 'kill': 1}",1.24
stan,49,483,12,"{'hell': 6, 'god': 2, 'screwed': 1, 'ass': 1, 'shit': 1, 'stupid': 1}",2.48
chris,40,490,3,"{'hell': 1, 'sex': 1, 'bitch': 1}",0.61
sister anne,30,394,4,"{'hell': 3, 'god': 1}",1.02
saddam,21,283,8,"{'pussy': 4, 'screw': 1, 'ass': 1, 'hell': 1, 'crap': 1}",2.83
priest maxi,20,389,12,"{'hell': 10, 'god': 1, 'bitch': 1}",3.08
kyle,15,129,4,{'hell': 4},3.1
kenny,9,27,2,"{'shit': 1, 'fuck': 1}",7.41
butters,8,92,2,"{'hell': 1, 'naked': 1}",2.17
sheila,5,31,1,{'hell': 1},3.23
ike,5,17,0,{},0.0
the pope,5,11,0,{},0.0
timmy,4,6,0,{},0.0
mr mackey,3,95,4,{'god': 4},4.21
randy,3,24,1,{'hell': 1},4.17
singers,3,24,0,{},0.0
gerald,2,62,1,{'hell': 1},1.61
secretary,2,27,0,{},0.0
clyde,2,24,1,{'hell': 1},4.17
walter,2,22,0,{},0.0
hula dancers,2,10,0,{},0.0
woman,2,4,0,{},0.0
sharon,2,2,0,{},0.0
nun,1,19,0,{},0.0
voice,1,17,0,{},0.0
cantor,1,13,0,{},0.0
tolkien,1,10,0,{},0.0
all,1,8,0,{},0.0
heidi,1,7,1,{'hell': 1},14.29
congregation,1,7,0,{},0.0
men,1,6,0,{},0.0
damned soul,1,6,0,{},0.0
gary,1,3,0,{},0.0
stan kyle cartman kenny,1,3,0,{},0.0
gene siskel,1,2,0,{},0.0
kenny stan cartman,1,2,0,{},0.0
demon,1,1,0,{},0.0
man,1,1,0,{},0.0
satan chris,1,1,0,{},0.0
