Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
kyle,46,545,20,"{'shit': 11, 'stupid': 3, 'vagina': 2, 'asshole': 2, 'fuck': 1, 'hell': 1}",3.67
stan,38,238,11,"{'shit': 7, 'fucking': 1, 'sucks': 1, 'shits': 1, 'poop': 1}",4.62
cartman,37,442,24,"{'shit': 8, 'vagina': 8, 'god': 3, 'goddamn': 2, 'cock': 1, 'fuck': 1, 'stupid': 1}",5.43
chef,27,316,11,"{'shit': 6, 'ass': 2, 'damn': 1, 'hell': 1, 'shits': 1}",3.48
hbc president,22,273,42,"{'shit': 41, 'god': 1}",15.38
mr garrison,14,244,32,"{'fag': 15, 'shit': 5, 'shitty': 5, 'gay': 3, 'poop': 2, 'piss': 1, 'shitter': 1}",13.11
barker,12,158,2,"{'shit': 1, 'pissed': 1}",1.27
lead knight,12,91,0,{},0.0
frank,9,90,1,{'shit': 1},1.11
randy,9,63,2,"{'fag': 1, 'shitty': 1}",3.17
mitchell,8,65,0,{},0.0
ms choksondik,7,130,7,"{'shitty': 4, 'shit': 3}",5.38
sorcerer,7,129,1,{'god': 1},0.78
director 1,6,55,2,"{'shit': 1, 'god': 1}",3.64
announcer,4,49,3,{'shit': 3},6.12
drew,4,32,4,{'shit': 4},12.5
jimbo,4,23,1,{'fag': 1},4.35
mimi,4,20,4,{'shit': 4},20.0
director 3,4,13,0,{},0.0
director 2,3,146,1,{'shits': 1},0.68
blond knight,3,19,0,{},0.0
sam,3,13,2,{'shit': 2},15.38
kenny,3,9,0,{},0.0
director 4,3,6,0,{},0.0
the boys,3,4,0,{},0.0
librarian,2,62,2,{'shit': 2},3.23
butters,2,52,3,{'shit': 3},5.77
director 5,2,24,2,"{'piss': 1, 'shit': 1}",8.33
man 7,2,24,2,{'fag': 2},8.33
sheila,2,17,0,{},0.0
colleague 1,2,15,0,{},0.0
waitress,2,10,0,{},0.0
man 6,2,9,1,{'shit': 1},11.11
colleague 2,2,9,0,{},0.0
anchor tom,1,82,5,"{'shit': 3, 'vomit': 1, 'shitty': 1}",6.1
captain,1,62,3,"{'shit': 2, 'shitty': 1}",4.84
cop,1,16,0,{},0.0
mr mackey,1,15,3,{'shit': 3},20.0
rick watts,1,12,1,{'shit': 1},8.33
elderly man,1,11,1,{'shit': 1},9.09
man 4,1,10,1,{'shit': 1},10.0
peter,1,9,2,{'shit': 2},22.22
bald knight,1,9,0,{},0.0
principal victoria,1,8,1,{'shitty': 1},12.5
filmore,1,8,1,{'shit': 1},12.5
elderly woman,1,7,1,{'shit': 1},14.29
man 2,1,7,1,{'shit': 1},14.29
man,1,6,2,{'shit': 2},33.33
barbrady,1,6,1,{'shit': 1},16.67
geldon,1,6,0,{},0.0
woman 2,1,5,1,{'shit': 1},20.0
man 1,1,5,1,{'shit': 1},20.0
woman 4,1,5,1,{'shit': 1},20.0
woman 3,1,4,1,{'shits': 1},25.0
man 3,1,4,1,{'shit': 1},25.0
director 6,1,4,0,{},0.0
tom,1,2,1,{'shit': 1},50.0
timmy,1,2,1,{'shit': 1},50.0
woman 1,1,2,1,{'shit': 1},50.0
man 5,1,2,1,{'shit': 1},50.0
gerald,1,2,0,{},0.0
stan and kenny,1,1,0,{},0.0
stan and kyle,1,1,0,{},0.0
bar patrons,1,1,0,{},0.0
chef and principal victoria,1,1,0,{},0.0
old folks,1,1,0,{},0.0
kindergartners,1,1,0,{},0.0
all,1,1,0,{},0.0
executives,1,1,0,{},0.0
ike,1,1,0,{},0.0
the men,1,1,0,{},0.0
