Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
kyle two,80,761,7,"{'hell': 2, 'god': 2, 'crap': 1, 'gay': 1, 'stupid': 1}",0.92
kyle,59,834,2,"{'stupid': 1, 'douche': 1}",0.24
mr garrison,36,672,8,"{'god': 2, 'bastards': 1, 'stupid': 1, 'anus': 1, 'hell': 1, 'cocksucking': 1, 'bitch': 1}",1.19
sheila,29,295,0,{},0.0
cartman,24,266,2,"{'slut': 1, 'asshole': 1}",0.75
stan,10,65,4,"{'hell': 2, 'ass': 1, 'damn': 1}",6.15
ms choksondik,7,106,0,{},0.0
clerk,7,72,0,{},0.0
randy,6,80,1,{'ass': 1},1.25
security guard,5,55,0,{},0.0
mr hat,5,38,2,{'ass': 2},5.26
kyle schwartz,4,44,0,{},0.0
craigs father,4,17,0,{},0.0
people,4,6,0,{},0.0
steve forbes,3,16,0,{},0.0
stuart,3,11,1,{'hell': 1},9.09
guests,3,5,0,{},0.0
announcer,2,100,0,{},0.0
bill gates,2,19,0,{},0.0
jimbo,2,16,0,{},0.0
man,2,11,0,{},0.0
steve jobs,2,10,1,{'god': 1},10.0
hispanic reporter,1,115,0,{},0.0
anchor,1,57,0,{},0.0
john travolta,1,51,0,{},0.0
agent 6,1,23,0,{},0.0
jeff arrando,1,21,0,{},0.0
agent 4,1,18,0,{},0.0
agent 3,1,14,0,{},0.0
agent 5,1,14,0,{},0.0
enrique iglesias,1,11,0,{},0.0
voice,1,10,0,{},0.0
man 3,1,8,0,{},0.0
officer barbrady,1,6,1,{'hell': 1},16.67
agent 1,1,6,0,{},0.0
agent 2,1,5,0,{},0.0
ike,1,4,0,{},0.0
woman,1,4,0,{},0.0
guest 3,1,3,0,{},0.0
all three,1,3,0,{},0.0
both kyles,1,1,0,{},0.0
donald trump,1,1,0,{},0.0
guest 1,1,1,0,{},0.0
guest 2,1,1,0,{},0.0
guest 4,1,1,0,{},0.0
man 1,1,1,0,{},0.0
man 2,1,1,0,{},0.0
man 4,1,1,0,{},0.0
stan cartman,1,1,0,{},0.0
