Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,45,292,6,"{'sex': 3, 'bitch': 1, 'hell': 1, 'schlong': 1}",2.05
ms choksondik,42,752,28,"{'sex': 11, 'penis': 3, 'god': 3, 'sexual': 2, 'herpes': 2, 'oral': 2, 'hiv': 1, 'vagina': 1, 'virgin': 1, 'clitoris': 1, 'fuck': 1}",3.72
mr mackey,38,575,24,"{'penis': 6, 'vagina': 3, 'sex': 3, 'hell': 2, 'oral': 2, 'uterus': 2, 'sexual': 1, 'testes': 1, 'scrotum': 1, 'clitoris': 1, 'naked': 1, 'nipples': 1}",4.17
kyle,26,158,5,"{'god': 2, 'sex': 2, 'hell': 1}",3.16
cartman,25,290,4,"{'dumbass': 1, 'asshole': 1, 'schlong': 1, 'bitch': 1}",1.38
sharon,17,217,5,"{'sexual': 3, 'hell': 2}",2.3
chef,15,219,9,"{'sex': 6, 'bitch': 1, 'sexual': 1, 'hymen': 1}",4.11
butters,15,201,1,{'pee': 1},0.5
mr garrison,12,239,6,"{'sexual': 3, 'herpes': 1, 'hell': 1, 'cowgirl': 1}",2.51
girls,11,11,0,{},0.0
wendy,8,66,2,"{'bastards': 1, 'god': 1}",3.03
principal victoria,6,108,1,{'sexual': 1},0.93
assistant,5,77,0,{},0.0
randy,5,75,1,{'sexual': 1},1.33
bebe,5,41,0,{},0.0
pharmacist,5,27,0,{},0.0
narrator,4,85,0,{},0.0
boys,4,9,0,{},0.0
sheila,3,52,1,{'sexual': 1},1.92
mark,3,29,1,{'sex': 1},3.45
kenny,3,16,0,{},0.0
filmore,2,6,0,{},0.0
girl,2,2,0,{},0.0
kids,2,2,0,{},0.0
mr adler,1,22,1,{'screw': 1},4.55
clyde,1,15,0,{},0.0
stuart,1,13,0,{},0.0
stephen,1,9,0,{},0.0
gerald,1,8,0,{},0.0
adults,1,7,0,{},0.0
jenny,1,6,0,{},0.0
tweek,1,5,0,{},0.0
mr tweek,1,4,0,{},0.0
flora,1,3,0,{},0.0
stan kyle,1,2,0,{},0.0
boy,1,2,0,{},0.0
boy 2,1,2,0,{},0.0
timmy,1,1,0,{},0.0
parents,1,1,0,{},0.0
