Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,82,612,10,"{'god': 5, 'stupid': 3, 'ass': 1, 'crap': 1}",1.63
kyle,62,490,9,"{'stupid': 2, 'hell': 2, 'god': 2, 'ass': 1, 'crap': 1, 'rape': 1}",1.84
towelie,45,365,5,"{'asshole': 2, 'god': 2, 'stupid': 1}",1.37
cartman,41,332,6,"{'stupid': 2, 'crap': 1, 'hell': 1, 'rape': 1, 'god': 1}",1.81
commander,29,562,1,{'bastards': 1},0.18
research leader,18,406,0,{},0.0
sharon,13,113,0,{},0.0
gs 401,10,103,0,{},0.0
soldier,10,55,1,{'kill': 1},1.82
official,6,44,0,{},0.0
kenny,5,14,0,{},0.0
boys,5,5,0,{},0.0
guard,4,36,0,{},0.0
zytar,3,46,1,{'kill': 1},2.17
mr garrison,3,23,0,{},0.0
voice,2,31,0,{},0.0
woman,2,21,0,{},0.0
soldier 2,2,20,0,{},0.0
sgt boll,2,18,0,{},0.0
sgt masters,2,17,0,{},0.0
man,2,7,0,{},0.0
towelie clone,2,6,3,{'kill': 3},50.0
tv,2,5,0,{},0.0
official 1,1,21,1,{'hell': 1},4.76
official 2,1,20,0,{},0.0
soldier 1,1,3,0,{},0.0
man 2,1,2,0,{},0.0
soldier 3,1,2,0,{},0.0
randy,1,1,0,{},0.0
soldiers,1,1,0,{},0.0
stan kyle,1,1,0,{},0.0
kyle towelie,1,1,0,{},0.0
