Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,56,581,8,"{'hell': 4, 'kill': 1, 'stupid': 1, 'asshole': 1, 'buttholes': 1}",1.38
cartman,46,468,14,"{'god': 5, 'kill': 2, 'assholes': 1, 'bitch': 1, 'fart': 1, 'hell': 1, 'boner': 1, 'prick': 1, 'ass': 1}",2.99
kyle,35,309,6,"{'god': 1, 'fart': 1, 'pissed': 1, 'hell': 1, 'fatass': 1, 'crap': 1}",1.94
goat,21,105,0,{},0.0
osama bin laden,18,98,0,{},0.0
akmarh,16,161,1,{'bastards': 1},0.62
boy in blue vest,11,117,2,"{'screw': 1, 'god': 1}",1.71
tony,10,93,1,{'hell': 1},1.08
general,7,88,0,{},0.0
towelie,6,42,0,{},0.0
butters,5,45,0,{},0.0
soldiers,5,16,0,{},0.0
randy,4,71,0,{},0.0
official,4,40,0,{},0.0
officer barbrady,4,37,1,{'hell': 1},2.7
fat boy,4,23,2,"{'fuckers': 1, 'goddammit': 1}",8.7
pilot,4,19,2,"{'hell': 1, 'god': 1}",10.53
kenny,4,18,5,"{'shit': 2, 'fuckin': 1, 'god': 1, 'damn': 1}",27.78
snn reporter,3,101,0,{},0.0
ms choksondik,3,64,0,{},0.0
afghan stan,3,35,0,{},0.0
postman,3,29,0,{},0.0
soldier 3,3,21,0,{},0.0
fleetwood mac,3,15,0,{},0.0
sharon,3,14,0,{},0.0
afghan boys,3,3,0,{},0.0
the boys,3,3,0,{},0.0
afghan kyle,2,40,0,{},0.0
wendy,2,34,1,{'fatass': 1},2.94
tweek,2,21,0,{},0.0
soldier 1,2,18,0,{},0.0
soldier,2,8,0,{},0.0
soldier 2,2,6,2,{'bastards': 2},33.33
reporter,1,42,0,{},0.0
afghan kyle named akmarh shulur,1,27,0,{},0.0
afghan cartman,1,15,0,{},0.0
afghan kenny,1,9,0,{},0.0
johnson,1,9,0,{},0.0
other soldiers,1,9,0,{},0.0
richard,1,6,0,{},0.0
soldier 4,1,6,0,{},0.0
randy sharon,1,5,0,{},0.0
soldier 6,1,5,0,{},0.0
hazmat man,1,4,0,{},0.0
blond man,1,4,0,{},0.0
brunet man,1,3,0,{},0.0
performer,1,3,0,{},0.0
protester,1,3,0,{},0.0
stan kyle,1,2,1,{'buttholes': 1},50.0
two swat men,1,2,0,{},0.0
voice,1,2,0,{},0.0
cameraman,1,2,0,{},0.0
people,1,1,0,{},0.0
man 1,1,1,0,{},0.0
boys,1,1,0,{},0.0
female voice,1,1,0,{},0.0
osama and the taliban soldiers,1,1,0,{},0.0
soldier 5,1,1,0,{},0.0
