Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
bebe,52,502,11,"{'boobs': 2, 'breasts': 2, 'slut': 1, 'vagina': 1, 'fucking': 1, 'hooters': 1, 'sucks': 1, 'stupid': 1, 'fuck': 1}",2.19
stan,44,285,3,"{'boobs': 2, 'god': 1}",1.05
cartman,42,530,15,"{'fucking': 3, 'god': 3, 'fuck': 3, 'bitch': 2, 'dumbasses': 1, 'fuckin': 1, 'boobs': 1, 'stupid': 1}",2.83
kyle,29,172,6,"{'boobs': 2, 'gay': 1, 'hell': 1, 'sucks': 1, 'stupid': 1}",3.49
wendy,22,182,12,"{'slut': 5, 'god': 2, 'boobs': 1, 'asshole': 1, 'sucked': 1, 'vagina': 1, 'stupid': 1}",6.59
clyde,21,159,4,"{'boobs': 2, 'screw': 1, 'stupid': 1}",2.52
dr hallis,19,337,9,"{'breasts': 4, 'bitch': 2, 'god': 1, 'damn': 1, 'assess': 1}",2.67
mrs stevens,14,225,2,"{'slut': 1, 'breasts': 1}",0.89
mr mackey,12,192,0,{},0.0
butters,11,67,0,{},0.0
craig,10,67,0,{},0.0
the boys,9,12,0,{},0.0
randy,8,140,11,"{'boobs': 10, 'breasts': 1}",7.86
liane,7,52,0,{},0.0
tolkien,6,82,1,{'hell': 1},1.22
polly prissy pants,6,55,1,{'kill': 1},1.82
millie,6,27,5,{'slut': 5},18.52
sharon,5,48,0,{},0.0
mrs testaburger,4,26,0,{},0.0
right breast,4,21,0,{},0.0
astronaut 1,3,31,1,{'god': 1},3.23
astronaut 2,3,26,1,{'hell': 1},3.85
left breast,3,17,0,{},0.0
tweek,3,16,1,{'god': 1},6.25
francis,3,14,0,{},0.0
bradley,3,12,0,{},0.0
esther,3,6,3,{'slut': 3},50.0
red,2,19,1,{'slut': 1},5.26
kevin,2,12,1,{'god': 1},8.33
timmy,2,7,0,{},0.0
driver,2,6,2,{'damn': 2},33.33
all the boys,2,2,0,{},0.0
brunette nurse,1,7,0,{},0.0
blonde nurse,1,5,0,{},0.0
precious,1,4,0,{},0.0
girls,1,3,3,"{'slut': 2, 'whore': 1}",100.0
jimbo,1,3,1,{'damn': 1},33.33
the other boys,1,2,0,{},0.0
millie esther,1,1,0,{},0.0
stan kyle,1,1,0,{},0.0
