Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,62,703,21,"{'god': 4, 'fat': 2, 'buttholes': 2, 'vagina': 2, 'crap': 2, 'ass': 1, 'goddammit': 1, 'fuck': 1, 'hell': 1, 'piss': 1, 'stupid': 1, 'sucked': 1, 'suck': 1, 'dick': 1}",2.99
stan,40,392,3,"{'shit': 1, 'god': 1, 'hell': 1}",0.77
kyle,40,331,9,"{'fatass': 2, 'retard': 1, 'pot': 1, 'asshole': 1, 'hells': 1, 'fat': 1, 'gods': 1, 'gay': 1}",2.72
randy,15,242,1,{'god': 1},0.41
bush,10,201,4,"{'hell': 2, 'bastard': 1, 'kill': 1}",1.99
general,8,166,1,{'japs': 1},0.6
lolly,8,125,0,{},0.0
carol,8,79,1,{'god': 1},1.27
stuart,7,67,1,{'playboys': 1},1.49
snn reporter,5,120,2,"{'pussies': 1, 'god': 1}",1.67
alan jackson,5,72,1,{'bastards': 1},1.39
sharon,5,49,0,{},0.0
gerald,5,48,1,{'god': 1},2.08
kenny,5,25,2,{'vagina': 2},8.0
field reporter,4,225,0,{},0.0
saddam hussein,4,63,3,"{'god': 1, 'stupid': 1, 'asshole': 1}",4.76
sheila,4,39,0,{},0.0
jimbo,3,25,1,{'hell': 1},4.0
god,3,25,0,{},0.0
fat man,2,46,3,"{'penis': 2, 'nipples': 1}",6.52
nurse,2,18,0,{},0.0
snn correspondent,1,55,0,{},0.0
nobunaga hiroichi,1,55,0,{},0.0
woman 1,1,24,0,{},0.0
ambassador 1,1,20,0,{},0.0
mayor mcdaniels,1,17,0,{},0.0
war protester,1,17,0,{},0.0
woman,1,13,0,{},0.0
nobunaga,1,10,0,{},0.0
redneck,1,9,0,{},0.0
indian ambassador,1,9,0,{},0.0
mr garrison,1,7,2,"{'fuckin': 1, 'stupid': 1}",28.57
ambassador 2,1,7,1,{'stupid': 1},14.29
dick cheney,1,6,0,{},0.0
steven,1,6,0,{},0.0
natsako semu,1,6,0,{},0.0
boyfriend,1,5,0,{},0.0
townsman,1,4,0,{},0.0
woman 2,1,3,0,{},0.0
liane,1,3,0,{},0.0
neighbors,1,2,0,{},0.0
man 1,1,2,0,{},0.0
man 2,1,2,0,{},0.0
soldiers,1,2,0,{},0.0
stan kyle,1,1,0,{},0.0
robot guard,1,1,0,{},0.0
some guy,1,1,0,{},0.0
johnson,1,1,0,{},0.0
crowd,1,1,0,{},0.0
